industry_name,data.date,donut_deseasonalised
Fuel,2023-02-01,-14.539063262790622
Fuel,2023-03-01,-14.069568635991558
Fuel,2023-04-01,-9.105888037190343
Fuel,2023-05-01,-2.203192369036151
Fuel,2023-06-01,5.493294722453314
Fuel,2023-07-01,-0.855944488249647
Fuel,2023-08-01,-8.207303578298065
Fuel,2023-09-01,-8.016581065908275
Fuel,2023-10-01,-3.630014163575468
Fuel,2023-11-01,5.490184981312314
Fuel,2023-12-01,7.281066499762603
"Grocery &
Bulk Stores",2018-01-01,0.5215581269139474
"Grocery &
Bulk Stores",2018-02-01,-2.9905267064923557
"Grocery &
Bulk Stores",2018-03-01,-3.4281586915489672
"Grocery &
Bulk Stores",2018-04-01,1.5299784591847176
"Grocery &
Bulk Stores",2018-05-01,-0.15923275910054357
