MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Virginia Beach, VA",-0.05193777013929755,-8.286171757199144e-4,-1.8898895021279327,0.1317673531394593,1,0,0
"Waco, TX",9.059113309241617,-0.0024353140580319994,-2.596993136668178,0.06023849526858371,1,0,0
"Washington, DC",-22.352791722601914,0.001336900073623693,2.441885487609355,0.07106381567044344,0,1,0
"Wenatchee, WA",0.035301280582742,-0.0046524224589992195,-5.661013329858104,0.004799862608510993,1,0,0
"Wichita Falls, TX",7.705124855113499,-0.010352290886037481,-6.405448593539741,0.003051319051975863,1,0,0
"Wichita, KS",14.114188205932864,5.723871569993171e-4,1.9779813369243047,0.11907635838366629,1,0,0
"Winchester, VA",-0.518396056839022,7.171056468194027e-4,1.2900073020922878,0.2665747395017656,1,0,0
"Worcester, MA",5.875142119131325,-0.04185585903322815,-9.039940727232548,8.295927632562894e-4,1,0,0
"Yakima, WA",-3.1039558329221832,8.581725997082807e-4,1.2605394256916718,0.2759939148650501,1,1,1
"York, PA",41.610397374930386,0.008269562043803488,9.277570674338175,7.507643241755482e-4,0,0,0
"Youngstown, OH",17.411658733877115,-0.00206148600757827,-5.059752545532647,0.007181783377072674,1,0,0
