big_region,data.date,donut_deseasonalised
W Europe,2018-10-01,-1.2946624869097914
W Europe,2018-11-01,-0.8417791864349122
W Europe,2018-12-01,-0.20348802990608528
W Europe,2019-01-01,0.19422902940723952
W Europe,2019-02-01,-1.6635905548092094
W Europe,2019-03-01,3.0117272363995906
W Europe,2019-04-01,3.5043403754777342
W Europe,2019-05-01,3.6742181820320563
W Europe,2019-06-01,1.8096038101580563
W Europe,2019-07-01,-0.3076086352421996
W Europe,2019-08-01,-0.9708918906948325
W Europe,2019-09-01,-1.2845173323622623
W Europe,2019-10-01,-2.0529369667855146
W Europe,2019-11-01,-3.0350002822218367
W Europe,2019-12-01,-2.8795740617194223
W Europe,2020-01-01,-0.9192810899683383
W Europe,2020-02-01,-2.8065207868889406
W Europe,2020-03-01,-20.23602403211263
W Europe,2020-04-01,-30.631381103113462
W Europe,2020-05-01,-33.79428360707352
W Europe,2020-06-01,-33.36328665986966
W Europe,2020-07-01,-30.82369600271212
W Europe,2020-08-01,-29.479948004744543
W Europe,2020-09-01,-33.0515418961645
W Europe,2020-10-01,-39.59865909696127
W Europe,2020-11-01,-37.08227903173423
W Europe,2020-12-01,-38.26910487200584
W Europe,2021-01-01,-30.8633505066342
W Europe,2021-02-01,-28.473814502327553
W Europe,2021-03-01,-31.870551876591357
W Europe,2021-04-01,-34.76656513922011
W Europe,2021-05-01,-33.21059007366889
W Europe,2021-06-01,-24.452226600661955
W Europe,2021-07-01,-16.912025205927307
W Europe,2021-08-01,-10.39039191601743
W Europe,2021-09-01,-8.646051533193893
W Europe,2021-10-01,-2.2456459991754913
W Europe,2021-11-01,-0.012679125224258847
W Europe,2021-12-01,-3.7876972247894973
W Europe,2022-01-01,-9.644562125528745
W Europe,2022-02-01,-3.7783105355736937
W Europe,2022-03-01,4.35830765516909
W Europe,2022-04-01,10.70121491626372
W Europe,2022-05-01,13.67163031036854
W Europe,2022-06-01,10.743059140481947
W Europe,2022-07-01,9.813957701354507
W Europe,2022-08-01,8.434015896836769
W Europe,2022-09-01,9.182727014129194
W Europe,2022-10-01,10.170910074464897
W Europe,2022-11-01,7.024554165759249
W Europe,2022-12-01,12.0107861113203
W Europe,2023-01-01,8.933002895592052
W Europe,2023-02-01,7.22761813232219
W Europe,2023-03-01,12.203465146429732
W Europe,2023-04-01,17.083539459386895
W Europe,2023-05-01,17.369261587229495
W Europe,2023-06-01,15.11941325784262
W Europe,2023-07-01,10.26419145309224
W Europe,2023-08-01,6.478627921779728
W Europe,2023-09-01,10.256607800010757
