city,data.date,data.donut_effect_cumulative,donut_deseasonalised
Jakarta,2018-05-01,-6.860505304,-3.1126847817477765
Jakarta,2018-06-01,-7.867578545,-6.189572730365967
Jakarta,2018-07-01,-1.958327814,-1.8278401989066448
Jakarta,2018-08-01,-0.823029196,-0.270716880860721
Jakarta,2018-09-01,3.103030621,2.6734180099969365
Jakarta,2018-10-01,1.03712359,0.062488367887052476
Jakarta,2018-11-01,-7.283063923,-9.141974925608984
Jakarta,2018-12-01,-0.348088936,-4.231288597375385
Jakarta,2019-01-01,-2.68083134,-3.034096921965632
Jakarta,2019-02-01,-0.12450261,-1.9645886159292525
Jakarta,2019-03-01,0.21306637,0.8791385312382756
Jakarta,2019-04-01,0.235938267,2.8009497017886744
Jakarta,2019-05-01,-6.324060243,-2.5762397207477763
Jakarta,2019-06-01,-0.622706385,1.0552994296340334
Jakarta,2019-07-01,6.363254936,6.493742551093355
Jakarta,2019-08-01,0.557192119,1.109504434139279
Jakarta,2019-09-01,-0.289418605,-0.7190312160030631
Jakarta,2019-10-01,-1.905269827,-2.8799050491129474
Jakarta,2019-11-01,1.228829823,-0.6300811796089836
Jakarta,2019-12-01,3.348507495,-0.5346921663753852
Jakarta,2020-01-01,1.529400329,1.176134747034368
Jakarta,2020-02-01,-1.426232394,-3.2663183999292524
Jakarta,2020-03-01,-9.034154037,-8.368081875761725
Jakarta,2020-04-01,-18.01503872,-15.450027285211325
Jakarta,2020-05-01,-19.71037314,-15.962552617747779
Jakarta,2020-06-01,-18.39856551,-16.720559695365967
Jakarta,2020-07-01,-12.04209694,-11.911609324906646
Jakarta,2020-08-01,-12.96143238,-12.409120064860721
Jakarta,2020-09-01,-15.27117205,-15.700784661003064
Jakarta,2020-10-01,-15.03331845,-16.007953672112947
Jakarta,2020-11-01,-7.708608096,-9.567519098608983
Jakarta,2020-12-01,-8.03250132,-11.915700981375384
Jakarta,2021-01-01,-12.81793964,-13.171205221965632
Jakarta,2021-02-01,-7.704559104,-9.544645109929252
Jakarta,2021-03-01,-9.934010483,-9.267938321761724
Jakarta,2021-04-01,-7.514812454,-4.949801019211326
Jakarta,2021-05-01,-9.248221358,-5.500400835747777
Jakarta,2021-06-01,-8.144169523,-6.466163708365967
Jakarta,2021-07-01,-13.14049519,-13.010007574906645
Jakarta,2021-08-01,-10.96387069,-10.411558374860721
Jakarta,2021-09-01,-7.769022264,-8.198634875003064
Jakarta,2021-10-01,-2.569404353,-3.544039575112947
Jakarta,2021-11-01,-0.404049483,-2.2629604856089838
Jakarta,2021-12-01,3.170028942,-0.7131707193753849
Jakarta,2022-01-01,-1.643923504,-1.997189085965632
Jakarta,2022-02-01,-2.39191413,-4.232000135929253
Jakarta,2022-03-01,-2.731232811,-2.0651606497617245
Jakarta,2022-04-01,-4.805418122,-2.2404066872113253
Jakarta,2022-05-01,-1.069395327,2.6784251952522236
Jakarta,2022-06-01,3.40629662,5.084302434634033
Jakarta,2022-07-01,-0.616324753,-0.48583713790664484
Jakarta,2022-08-01,-0.929220208,-0.376907892860721
Jakarta,2022-09-01,-2.44706802,-2.876680631003063
Jakarta,2022-10-01,-0.095787049,-1.0704222711129474
Jakarta,2022-11-01,-0.369747457,-2.2286584596089836
Jakarta,2022-12-01,-2.737499617,-6.620699278375385
Jakarta,2023-01-01,-7.167693922,-7.520959503965632
Jakarta,2023-02-01,-4.677977526,-6.518063531929252
Jakarta,2023-03-01,-7.399810694,-6.733738532761724
Jakarta,2023-04-01,-8.654131417,-6.089119982211326
Jakarta,2023-05-01,-6.875558832,-3.1277383097477767
Jakarta,2023-06-01,-6.546971341,-4.868965526365967
Jakarta,2023-07-01,-7.999051127,-7.868563511906645
Jakarta,2023-08-01,-7.452208554,-6.8998962388607215
Jakarta,2023-09-01,-4.655940621,-5.085553232003063
Kuala Lumpur,2018-01-01,-0.719164915,3.104562394909898
Kuala Lumpur,2018-02-01,0.09006084,0.5975545925487786
Kuala Lumpur,2018-03-01,-0.295900561,1.4064737819283708
Kuala Lumpur,2018-04-01,-1.084630604,0.4462308699627342
Kuala Lumpur,2018-05-01,-5.430639242,-2.2344960523530837
Kuala Lumpur,2018-06-01,0.837771599,-0.4697572650632874
Kuala Lumpur,2018-07-01,-4.543674108,-4.408722242808079
Kuala Lumpur,2018-08-01,0.115520442,-0.2561375820734394
Kuala Lumpur,2018-09-01,-1.421514186,-1.6351666225157568
Kuala Lumpur,2018-10-01,-1.799994146,-1.4469994430905002
Kuala Lumpur,2018-11-01,1.81952375,-1.1247360132388118
Kuala Lumpur,2018-12-01,4.73444558,-1.6770025308758862
Kuala Lumpur,2019-01-01,-2.965656516,0.8580707939098979
Kuala Lumpur,2019-02-01,-0.327998842,0.17949491054877859
Kuala Lumpur,2019-03-01,3.81005868,5.512433022928371
Kuala Lumpur,2019-04-01,-1.987761689,-0.45690021503726586
Kuala Lumpur,2019-05-01,-4.898700995,-1.7025578053530832
Kuala Lumpur,2019-06-01,4.41298817,3.105459305936713
Kuala Lumpur,2019-07-01,0.756964387,0.8919162521919217
Kuala Lumpur,2019-08-01,2.900077549,2.5284195249265613
Kuala Lumpur,2019-09-01,-0.256785561,-0.4704379975157569
Kuala Lumpur,2019-10-01,-1.279752933,-0.9267582300905
Kuala Lumpur,2019-11-01,-0.218035138,-3.1622949012388117
Kuala Lumpur,2019-12-01,0.054602888,-6.3568452228758865
Kuala Lumpur,2020-01-01,-7.283541158,-3.4598138480901017
Kuala Lumpur,2020-02-01,-9.69957025,-9.192076497451222
Kuala Lumpur,2020-03-01,-19.13549011,-17.433115767071627
Kuala Lumpur,2020-04-01,-15.46097321,-13.930111736037267
Kuala Lumpur,2020-05-01,-18.90256872,-15.706425530353085
Kuala Lumpur,2020-06-01,-15.4283846,-16.735913464063287
Kuala Lumpur,2020-07-01,-12.57999523,-12.445043364808077
Kuala Lumpur,2020-08-01,-11.04982649,-11.42148451407344
Kuala Lumpur,2020-09-01,-10.28680271,-10.500455146515757
Kuala Lumpur,2020-10-01,-17.09974922,-16.7467545170905
Kuala Lumpur,2020-11-01,-13.24866586,-16.19292562323881
Kuala Lumpur,2020-12-01,-10.34698884,-16.758436950875886
Kuala Lumpur,2021-01-01,-26.96327114,-23.1395438300901
Kuala Lumpur,2021-02-01,-14.10747258,-13.59997882745122
Kuala Lumpur,2021-03-01,-11.70372835,-10.00135400707163
Kuala Lumpur,2021-04-01,-15.21989751,-13.689036036037265
Kuala Lumpur,2021-05-01,-24.58799041,-21.391847220353085
Kuala Lumpur,2021-06-01,-19.14604743,-20.453576294063286
Kuala Lumpur,2021-07-01,-19.22829794,-19.09334607480808
Kuala Lumpur,2021-08-01,-19.54156744,-19.91322546407344
Kuala Lumpur,2021-09-01,-17.95210015,-18.165752586515758
Kuala Lumpur,2021-10-01,-16.74719463,-16.3941999270905
Kuala Lumpur,2021-11-01,-16.17461481,-19.118874573238813
Kuala Lumpur,2021-12-01,-8.6214355050000009,-15.032883615875887
Kuala Lumpur,2022-01-01,-20.7422259,-16.918498590090103
Kuala Lumpur,2022-02-01,-16.50847254,-16.00097878745122
Kuala Lumpur,2022-03-01,-21.31124181,-19.608867467071626
Kuala Lumpur,2022-04-01,-14.5929147,-13.062053226037266
Kuala Lumpur,2022-05-01,-6.450041455,-3.253898265353083
Kuala Lumpur,2022-06-01,-8.585452137,-9.892981001063289
Kuala Lumpur,2022-07-01,-12.26916927,-12.134217404808078
Kuala Lumpur,2022-08-01,-13.48183039,-13.853488414073441
Kuala Lumpur,2022-09-01,-10.43031579,-10.643968226515756
Kuala Lumpur,2022-10-01,-11.18527773,-10.832283027090499
Kuala Lumpur,2022-11-01,-4.782883886,-7.727143649238812
Kuala Lumpur,2022-12-01,-1.933388823,-8.344836933875886
Kuala Lumpur,2023-01-01,-13.09338026,-9.269652950090101
Kuala Lumpur,2023-02-01,-12.43421609,-11.92672233745122
Kuala Lumpur,2023-03-01,-12.63845767,-10.936083327071628
Kuala Lumpur,2023-04-01,-12.7622944,-11.231432926037266
Kuala Lumpur,2023-05-01,-11.69299826,-8.496855070353083
Kuala Lumpur,2023-06-01,-7.796530962,-9.104059826063288
Kuala Lumpur,2023-07-01,-7.261129077,-7.126177211808078
Kuala Lumpur,2023-08-01,-12.11262236,-12.48428038407344
Kuala Lumpur,2023-09-01,-14.8553792,-15.069031636515756
New York,2018-01-01,-3.800176965,-8.259087301213377
New York,2018-02-01,-3.898516143,-10.75385342851079
New York,2018-03-01,-6.610366501,-7.607283751007333
New York,2018-04-01,0.541309918,-1.0819489792626054
New York,2018-05-01,-0.313117124,0.9642722967371022
New York,2018-06-01,-3.497262393,-0.5664529162516239
New York,2018-07-01,-3.25427361,0.8079822129223282
New York,2018-08-01,-3.480541234,2.1638278980979897
New York,2018-09-01,1.658564047,1.0520957596083942
New York,2018-10-01,5.400925325,1.111667090757133
New York,2018-11-01,-0.783171118,-0.3728226722937973
New York,2018-12-01,-3.028843282,1.4761366645275893
New York,2019-01-01,13.86073943,9.401829093786624
New York,2019-02-01,4.694427704,-2.16090958151079
New York,2019-03-01,0.253523941,-0.7433933090073328
New York,2019-04-01,1.487898718,-0.13536017926260513
New York,2019-05-01,0.311048464,1.5884378847371023
New York,2019-06-01,-3.368057676,-0.4372481992516235
New York,2019-07-01,-6.476761332,-2.4145055090776717
New York,2019-08-01,-6.386784977,-0.74241584490201
New York,2019-09-01,3.967844349,3.361376061608394
New York,2019-10-01,4.04233278,-0.24692545424286738
New York,2019-11-01,-5.071121398,-4.660772952293797
New York,2019-12-01,-7.315090005,-2.810110058472411
New York,2020-01-01,-2.240283876,-6.699194212213378
New York,2020-02-01,-4.690424075,-11.54576136051079
New York,2020-03-01,-26.08279284,-27.07971009000733
New York,2020-04-01,-35.16945278,-36.7927116772626
New York,2020-05-01,-45.21181772,-43.9344282992629
New York,2020-06-01,-48.36022748,-45.42941800325162
