city,distance_val.x,avg_2023,distance_val.y,slope,t_stat,p_value,not_positive,less_five,persisters
Santiago,40,69.97824120790854,40,-0.29704316759113186,-2.321048546121665,0.05331205916064645,1,0,0
Split,40,-1.8120153415690452,40,-0.33438424943595496,-2.555382476983156,0.037805459783713254,1,0,0
Stavanger,40,5.774961620588381,40,0.06252682729941708,2.821431971445809,0.02572036400865131,0,0,0
Tampere,40,-10.954887179098085,40,-0.09960735118011789,-2.2877832985368234,0.055990166338169466,1,0,0
Thessaloniki,40,-9.167048683868751,40,-0.3136142660847804,-3.0180532432734526,0.019439687555811824,1,0,0
Toronto,40,-17.141933361977344,40,0.03142801394726081,2.1210783796848167,0.07160738089207594,0,1,0
Trondheim,40,4.994639233359003,40,-6.60554502177363e-4,-0.023407029564716738,0.9819788681138819,1,0,0
Turin,40,2.2156278908824665,40,-0.09648373005085878,-2.008383621252736,0.08456715382949191,1,0,0
Turku,40,-1.915400219209362,40,-0.00952378382814336,-0.1800990019909215,0.862177685295358,1,0,0
Vienna,40,0.4362646299733481,40,-0.005519979600419578,-0.41961331195660845,0.6873462953402001,1,0,0
