MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Mansfield, OH",-2.7795266356635304,-0.014796014970865223,-14.501068215578234,1.314941776167543e-4,1,1,1
"Memphis, TN",-1.1607387342743367,8.715902755645956e-4,1.1164115817017026,0.3267813244726691,1,1,1
"Miami, FL",-4.11855450842891,0.001270876297129657,1.1489781545002549,0.3145971821042581,1,1,1
"Milwaukee, WI",-1.3617448257765998,-3.667232424014499e-4,-0.587331324534057,0.5885343979980062,1,1,1
"Minneapolis, MN",-2.883643970227047,9.06703636846402e-4,1.5126623526238192,0.20491164156971042,1,1,1
"Mobile, AL",-4.494960304742707,-0.005199872714563998,-5.967289872384725,0.003961076773470832,1,1,1
"Modesto, CA",-2.4978910734434256,-2.0613592074182656e-4,-1.3039190280995792,0.26223642722625695,1,1,1
"Montgomery, AL",-5.507439963226359,-0.006825054579224585,-7.359785839601968,0.0018156972967129116,1,1,1
"Myrtle Beach, SC",-1.5717981616093577,-0.0014270170822836279,-1.3987493763976198,0.23444699805045716,1,1,1
"Naples, FL",-6.065929528758526,-0.016378626179395284,-1.578187243784986,0.1896624727187911,1,1,1
"Nashville, TN",-1.8547564093849014,9.188441627039188e-4,0.8555992251841924,0.44044378252521954,1,1,1
"New York, NY",-11.691049687049581,-0.0010761529457938039,-1.3234020273495264,0.25627566931672613,1,1,1
"Norwich, CT",-1.6946755564079097,-0.005287431739951526,-3.7506492736751547,0.01993584482523835,1,1,1
"Oklahoma City, OK",-4.151688095355887,-0.0018211478237287245,-4.31636266162173,0.012483175545664409,1,1,1
"Orlando, FL",-2.7767228206058068,0.0011257455977485408,1.000352423345664,0.37374968878927634,1,1,1
"Peoria, IL",-0.5759588571049901,-0.0041356375074666244,-3.397465936966003,0.027341093791688763,1,1,1
"Philadelphia, PA",-4.7482451274000415,-0.00225989551921281,-1.590709815108198,0.18688355036319465,1,1,1
"Pittsburgh, PA",-2.1323850268859315,-0.0034932198980398128,-6.178917404736698,0.0034852331050968816,1,1,1
"Pittsfield, MA",-3.492779594554726,-0.008764230237626682,-3.6131489138784025,0.022493587074849802,1,1,1
"Portland, OR",-3.481114323570157,-0.0020129811071449414,-7.327338910559875,0.0018461884810605626,1,1,1
"Providence, RI",-2.417988803566608,-0.004764671449935968,-4.0452189335132696,0.015536896488573173,1,1,1
"Pueblo, CO",-7.307155864245811,-0.009092533497036717,-9.985076529955183,5.652624199306052e-4,1,1,1
"Reno, NV",-1.3742093379005553,-0.0027585705930394276,-5.956417275342241,0.003987613830815341,1,1,1
"Richmond, VA",-0.8485041193169394,0.0025138600415102823,1.5959426755043602,0.18573480329346276,1,1,1
"Sacramento, CA",-5.191852679754243,-0.001624317490553222,-6.32580894604955,0.003195860341443067,1,1,1
"Saginaw, MI",-4.8317228014082785,-0.005870070336046492,-3.127902739787479,0.03525652911006126,1,1,1
"San Angelo, TX",-5.55749316178248,-0.004569723958899449,-11.123277800013533,3.7168454496813475e-4,1,1,1
"San Antonio, TX",-2.531761837045379,-2.9317697360440682e-5,-0.028089513416340202,0.9789363272221052,1,1,1
"San Diego, CA",-3.335771701242612,-0.010194200388340744,-10.897432136791135,4.0258628885095663e-4,1,1,1
"Seattle, WA",-10.67684936781184,-1.3425242261746334e-4,-0.41738856591542917,0.6978238193419704,1,1,1
"Springfield, MO",-4.981131172322835,-0.0022624252146526123,-2.510468659903981,0.06602433921769592,1,1,1
"Springfield, OH",-1.6634587847096898,-0.007443437865410682,-22.39407244694654,2.354331150477278e-5,1,1,1
"State College, PA",-0.6569786527302389,6.766860220493538e-4,0.79186713665494,0.4727507021170809,1,1,1
"Tallahassee, FL",-0.8060780548651568,3.036382885049092e-4,0.59613850159834,0.5831790631287268,1,1,1
"Terre Haute, IN",-1.073906348303641,0.0012178375837036397,0.8215567388354285,0.45747504826681107,1,1,1
"Toledo, OH",-2.772367431541596,-0.009348636790902854,-5.59666824182576,0.0050029122239135795,1,1,1
"Topeka, KS",-2.762775326927519,-0.0036431225996764924,-1.5107084374116984,0.2053851421781295,1,1,1
"Trenton, NJ",-2.0135815500674017,-0.0011534068510198371,-1.7094624550585387,0.16254304282679546,1,1,1
"Tucson, AZ",-8.899008702305423,-0.011524101318311162,-3.70981802021527,0.020657319208500884,1,1,1
"Utica, NY",-0.6698347059628741,3.0372817365487137e-4,0.6950227507023833,0.5253018936706697,1,1,1
"Vallejo, CA",-2.4375503682168094,-8.530096382081993e-4,-15.060861217114644,1.1326466784268276e-4,1,1,1
"Virginia Beach, VA",-1.3734310194976813,-8.286171757199144e-4,-1.8898895021279327,0.1317673531394593,1,1,1
"Waco, TX",-0.4127921202255468,-0.0024353140580319994,-2.596993136668178,0.06023849526858371,1,1,1
"Wenatchee, WA",-2.0179979289613352,-0.0046524224589992195,-5.661013329858104,0.004799862608510993,1,1,1
"Wichita Falls, TX",-15.028051361583596,-0.010352290886037481,-6.405448593539741,0.003051319051975863,1,1,1
"Worcester, MA",-4.152020449561595,-0.04185585903322815,-9.039940727232548,8.295927632562894e-4,1,1,1
"Yakima, WA",-2.0286025359868405,8.581725997082807e-4,1.2605394256916718,0.2759939148650501,1,1,1
"Youngstown, OH",-2.594862690837947,-0.00206148600757827,-5.059752545532647,0.007181783377072674,1,1,1
"Akron, OH",2.451883752825373,5.198234798198235e-4,0.915553855021197,0.4117022272778581,1,0,0
"Allentown, PA",0.19570729497121328,0.001598873803483951,3.0542033233124832,0.037872304533152455,0,0,0
