MetroShort,distance_val.x,avg_2023,distance_val.y,slope,t_stat,p_value,not_positive,less_five,persisters
"Lancaster, PA",40,-14.489219919854202,40,-0.03942241395350571,-2.806742208475478,0.02626855028991214,1,1,1
"Las Vegas, NV",40,-9.627140126441024,40,0.049096816717687744,3.0223119872097133,0.019323131884169897,0,1,0
"Lexington, KY",40,3.050991037105498,40,-0.03426210426255486,-1.2273066843896314,0.2593767632781227,1,0,0
"Little Rock, AR",40,7.012470323506097,40,-0.03844810342494643,-1.2630305307318932,0.24702030003576536,1,0,0
"Los Angeles, CA",40,5.817970389323479,40,-0.004967155846193398,-0.5620181209811261,0.5916363294429263,1,0,0
"Madison, WI",40,-8.740786163538194,40,-0.0024547758344645597,-0.05666741189934076,0.9563937317648707,1,1,1
"McAllen, TX",40,5.068224777105387,40,0.0011545180361116794,0.14291688567583594,0.8903827024043405,1,0,0
"Memphis, TN",40,2.020146731135614,40,-0.1478839459922459,-2.7073036002382134,0.03031700458537622,1,0,0
"Miami, FL",40,24.43773600146366,40,-0.026101917814674788,-1.1844887942506355,0.2748732490773929,1,0,0
"Milwaukee, WI",40,7.432893363206861,40,0.009966636975912003,0.4167314918188118,0.6893567037215913,1,0,0
"Minneapolis, MN",40,21.857088072927695,40,0.2611408595464346,11.531095782448313,8.304691590927186e-6,0,0,0
"Nashville, TN",40,15.224955279006783,40,0.03160754647691734,1.8364980849119084,0.10890282947399096,1,0,0
"New Haven, CT",40,-1.8753281370877142,40,-0.01646437948185034,-0.8429811228995117,0.42710098777939665,1,1,1
"New Orleans, LA",40,-13.168363076862192,40,-0.06561827853549311,-3.21970657759404,0.014659368912718075,1,1,1
"New York, NY",40,-24.78664794062611,40,0.004064416422399244,0.29064645569704833,0.7797440685832153,1,1,1
"Ogden, UT",40,10.880529601847714,40,0.047145621703939336,4.037890243725432,0.004946072621527865,0,0,0
"Oklahoma City, OK",40,-7.49001651634764,40,-0.031510168382817394,-1.5636989633553238,0.16186397877699052,1,1,1
"Omaha, NE",40,8.548761534653565,40,0.058755466640260615,1.0224797558202197,0.34058424849819235,1,0,0
"Orlando, FL",40,-4.10435096671303,40,-0.042450287438305354,-2.2182901653967986,0.06203358990384575,1,1,1
"Oxnard, CA",40,10.07843445729617,40,-0.03946022100399981,-3.8680547085131365,0.006147122206596713,1,0,0
"Palm Bay, FL",40,-1.0249449081387936,40,0.07130907523836508,5.4097724093450035,9.979778283397962e-4,0,0,0
"Philadelphia, PA",40,-7.189897371927929,40,-0.003438879737869285,-0.23002046400123344,0.8246530849781553,1,1,1
"Phoenix, AZ",40,14.575975809736999,40,0.013268769599044909,0.9984674326971918,0.35130891695226285,1,0,0
"Pittsburgh, PA",40,-7.315831442424063,40,0.10190489077561087,4.2142238036693795,0.003964908127082086,0,1,0
"Providence, RI",40,9.497079409223355,40,-0.0582068477447025,-3.425531316050497,0.011052059122001944,1,0,0
"Provo, UT",40,-6.3007279552757804,40,0.025129170649574446,1.8286385445622155,0.11016499778780016,1,1,1
"Raleigh, NC",40,-8.897119389849124,40,-0.14960630360078378,-3.369899345271146,0.011921952991162171,1,1,1
"Richmond, VA",40,-15.818939589515043,40,-0.04274860249726175,-2.541987872428528,0.0385519368015278,1,1,1
"Riverside, CA",40,7.96981947161693,40,9.667309105889683e-4,0.07651760330701446,0.9411483775634062,1,0,0
"Rochester, NY",40,-7.933075280996963,40,-0.05716916716681253,-4.235876690952558,0.0038599473590938535,1,1,1
"Sacramento, CA",40,7.5093374646213435,40,-0.011125139461846302,-0.6887569964524598,0.5131495810550823,1,0,0
"Salinas, CA",40,12.583527649227527,40,-0.009277839849971993,-0.9718311157088533,0.36351015202049597,1,0,0
"Salt Lake City, UT",40,-8.927436705132434,40,-9.068147247861608e-4,-0.06671441829867716,0.9486745463892193,1,1,1
"San Antonio, TX",40,-2.4213486460668,40,-0.10256327024034124,-3.61718564017907,0.008542109394821692,1,1,1
"San Diego, CA",40,-9.332466169445595,40,0.03195639800787094,1.9361558663108607,0.09406594679193193,0,1,0
"San Francisco, CA",40,-22.538885081000746,40,0.014789634600108166,1.8438433624593225,0.10773588096194077,1,1,1
"San Jose, CA",40,0.0861148191118164,40,-0.06774210271653702,-4.629762187541362,0.0023983591933430535,1,0,0
"Scranton, PA",40,4.845389042351998,40,-0.018146782042459113,-0.13648994213669785,0.8952765221208592,1,0,0
"Seattle, WA",40,-13.611587711453582,40,0.07813662504491176,4.294853560059177,0.0035892173922850595,0,1,0
"Spokane, WA",40,-16.267247669068,40,-0.0624697840628023,-4.011218310579394,0.0051163763764574665,1,1,1
"Springfield, MA",40,0.5252453822695883,40,-0.004408455270255826,-0.41121986337509864,0.693209204783598,1,0,0
"Stockton, CA",40,8.347970710789827,40,-0.08972899858398035,-5.04992958381935,0.0014799337302335324,1,0,0
"Syracuse, NY",40,-20.45383406300496,40,-0.06088260968327622,-1.901269190928509,0.09902103133514657,1,1,1
"Tampa, FL",40,16.249841846122496,40,-0.10607052769165495,-4.5339523011212055,0.0026870071546554993,1,0,0
"Toledo, OH",40,-20.63674560157729,40,-0.002408043733106115,-0.23928859542114622,0.8177370007033835,1,1,1
"Tucson, AZ",40,11.636032500048131,40,-0.06424711760451321,-1.3010033872238915,0.23444274665011594,1,0,0
"Tulsa, OK",40,2.7177597054041738,40,0.01707424189064843,1.0807926485477148,0.3156126306138352,1,0,0
"Virginia Beach, VA",40,-25.214552864890216,40,-0.031113561275712798,-3.97616459449893,0.005350020630156825,1,1,1
"Wichita, KS",40,13.024017820055672,40,0.02675883620151753,1.4002810131946426,0.2041604420089175,1,0,0
"Worcester, MA",40,-1.4454736008207618,40,-0.0029639356444444887,-0.5580035990001976,0.5942303845295782,1,0,0
NA,40,31.458235223920514,40,0.14912494526536338,2.0433317720903807,0.08031697694083852,0,0,0
