zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google
7463,18.670123568322325,2.477854732466287,003,34,9615,2.0828938223938223,2.0630934362934363,4660.477238139227,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",9986,27,0.4834069336116005,0.4439936960001471,459,4840.304284977464,41.013615,-74.125919,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,31098.464260120836,34938.904022123745,34810.47139176875
7465,21.065454181217525,1.2096569747024752,031,34,6244,8.564980308880308,7.871383397683398,793.2531912799028,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",6716,424,0.4374606906811645,0.3971355704453347,91,853.2172377699916,41.054855,-74.332764,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,44480.306879168864,46973.33214193127,46831.16885308772
7470,23.442418288973347,2.4172048652807114,031,34,54717,25.2252722007722,23.77886370656371,2301.077153022093,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",53954,33,0.4662420552420464,0.42203426691400736,3756,2268.9898334001136,40.945855,-74.245077,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,30636.42320539961,32849.54873379542,32706.81265602631
7480,28.334877211461993,3.148452806220012,031,34,16122,34.768680694980695,33.4112444015444,482.5321621141048,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",16439,490,0.43913577304965074,0.3952253913374281,473,492.01998591947455,41.088259,-74.37639,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,49693.584363368136,52140.76811959748,51998.34888811594
7481,20.197293316292757,0.14573524017765463,003,34,16716,6.614035907335907,6.553796911196911,2550.582544210571,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",17017,25,0.4920533379865394,0.44630300279519824,968,2596.510119336641,40.999093,-74.168849,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,31282.94747388312,34671.27976205176,34536.459057042186
7501,33.81380851203139,18.58131267523678,031,34,33543,1.8861135135135136,1.84615444015444,18169.11915408007,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",32432,1278,0.3607546547295947,0.3011345163747148,763,17567.327681040002,40.911998,-74.170965,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,23567.069377894673,26165.88717656936,26025.163936523473
7502,29.114907845387094,12.842508707295996,031,34,15406,0.9455220077220076,0.9099436293436294,16930.71911620814,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",16396,1109,0.3749490142329366,0.31965185299308413,216,18018.698599853866,40.918574,-74.194088,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,25444.062866717137,27854.427100357738,27712.61668577229
7503,30.14933093461778,12.689758958108657,031,34,18723,1.5733752895752895,1.549315444015444,12084.692031129953,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",17875,1072,0.3694235609109801,0.3114914849517798,857,11537.353525420494,40.897548,-74.154121,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,21424.07075387661,24050.740876817617,23910.41421979878
7504,30.57940751507723,15.285837404564912,031,34,12882,0.8590633204633205,0.8276351351351351,15564.829782023024,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",11578,1188,0.3630755601836931,0.31123741971807306,150,13989.25626581762,40.912548,-74.141615,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,22010.21977055534,24984.889493219307,24846.99853030688
7506,22.057574278466802,4.008565675414748,031,34,18791,3.364257915057915,3.3338092664092662,5636.495221647504,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",18784,34,0.4469484457821453,0.40440236616934583,939,5634.395521442537,40.956957,-74.158561,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,26850.926898909216,30044.878949935508,29908.39626191448
7508,23.986103175285642,4.087647057077979,031,34,22600,5.132723166023166,5.084423552123552,4444.94833451885,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",22627,32,0.40654288494666657,0.3608062160878323,719,4450.2586710246915,40.955074,-74.183638,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,27916.641516001993,30830.842298706135,30691.806681468588
7512,23.55780914204071,3.2274512600254677,031,34,10804,4.014202702702702,3.943367567567567,2739.790246503537,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",10828,32,0.4289800292706247,0.3851738446683234,1075,2745.876415137014,40.903415,-74.219779,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,25921.82299434515,27846.48685053501,27703.30131951028
7513,27.076069401986558,17.09848711876033,031,34,11508,0.598657528957529,0.5915652509652509,19453.475303396397,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",12348,978,0.3654735560985007,0.3047094358131822,261,20873.437004374235,40.906182,-74.148686,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,21837.351542459903,24646.113455876788,24506.943139333467
7514,28.685089407622826,17.162068735313778,031,34,18289,0.9770972972972972,0.9303818532818532,19657.52011981629,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",18100,1404,0.36185185008876875,0.3073924685549578,480,19454.377722602378,40.926992,-74.143838,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,23407.092277554704,26503.556210886625,26366.551581674477
7522,35.10223136479344,17.96715537216913,031,34,20883,0.865657915057915,0.8205756756756757,25449.20672039735,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",20615,1365,0.3594237910333012,0.3037445883610661,224,25122.606739500618,40.924959,-74.179096,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,25094.352398721618,27751.262693910245,27610.73521188654
7524,29.064444133899986,16.513150586645324,031,34,12709,0.8002637065637066,0.7541725868725869,16851.580422329924,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",13750,1091,0.3672075416301111,0.30638131696196963,379,18231.901078529896,40.931711,-74.15687,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,24482.8858065933,27470.046124938635,27331.9369199532
7601,21.401880258114243,4.510280968927041,003,34,43010,4.353232818532819,4.186204247104247,10274.223965481764,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",44339,71,0.40786000725843735,0.362153614555094,4257,10591.695336096162,40.889398,-74.045698,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,15751.245991986165,19891.035379502096,19771.35741607879
7603,20.302369724651427,4.288891852848228,003,34,8187,0.8131826254826254,0.7649544401544401,10702.598181333637,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",8360,28,0.4214837068017672,0.3748910790768803,209,10928.755441058896,40.874287,-74.029735,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,13723.796477597349,18030.97410651569,17916.040151233992
7604,19.827168169918856,4.553861151295304,003,34,11842,1.5336096525096523,1.529634749034749,7741.717431218596,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",12082,42,0.4492571731207294,0.4074521788019136,642,7898.617632493083,40.862751,-74.075182,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,14234.31238086472,17650.428207905723,17519.19514669688
7605,17.417180686224988,2.5022916074336843,003,34,8950,1.6402374517374518,1.5411972972972974,5807.173433080283,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",9086,35,0.47222512173720865,0.4239686968843602,370,5895.416515415358,40.863391,-73.988471,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,11894.48586771594,16751.943393185906,16656.282012500385
7606,21.99959761972783,3.2461673892750627,003,34,2310,0.660869111969112,0.6403756756756757,3607.2575641831863,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",2575,175,0.3888014675840783,0.33711504462388153,362,4021.077154879526,40.858477,-74.048473,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,12683.93274364868,16562.2954790596,16438.841912625834
7607,23.009102871856122,2.4909965321320353,003,34,9555,1.2714640926640928,1.2700204633204633,7523.500822198165,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",9661,32,0.44099214520201446,0.3984717694447838,390,7606.9640442968575,40.902885,-74.063457,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,17700.230051051054,21662.84660227077,21538.92113427703
7620,20.765937444116048,-9.071434580542167,003,34,1849,9.231802316602316,6.410690347490347,288.42447533343193,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",1547,151,0.4720403241158219,0.4192812309486207,43,241.31566432710613,40.968149,-73.91715,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,24140.699738302148,29302.048320947702,29225.93346551674
7621,21.34176131037954,3.1452598711243307,003,34,26761,2.8067934362934364,2.798493436293436,9562.645262246731,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",27373,47,0.4211015322864885,0.3818016023754097,982,9781.33435833787,40.922334,-73.998001,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,18495.2428993009,23263.827795914352,23162.077809838724
7624,23.095046854785075,-0.1601922347388634,003,34,8373,3.295463320463321,3.1644220077220075,2645.980839334234,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",8565,37,0.4685119855915057,0.42170652026844624,787,2706.6554268359864,40.97289,-73.960315,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,24127.963859057523,29126.645018747156,29035.912465417885
7626,18.45121418854111,-0.9251108312955432,003,34,8537,2.066322393822394,2.056050579150579,4152.135208428049,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",8699,24,0.4824925438609135,0.4378231353671698,393,4230.927044408528,40.939786,-73.958581,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,20466.82711193222,25498.591071574217,25410.617696096848
7627,22.243218610729798,-1.7508159309088493,003,34,4881,2.07801583011583,2.066672972972973,2361.7669867615923,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",4942,30,0.4868104784442173,0.4394119087112908,121,2391.283025727472,40.954576,-73.956563,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,22121.869419093648,27151.713888516584,27063.374072059367
7628,19.958166464223343,4.049988680356548,003,34,17433,1.9816258687258688,1.978865637065637,8809.592563267985,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",17624,30,0.43612389687265635,0.39761781482373726,474,8906.112507028909,40.945239,-73.992428,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,21011.01452041473,25827.59249065664,25727.421356372484
7630,18.131156998035593,1.3798706626541575,003,34,7379,2.396319305019305,2.2005173745173745,3353.3023121975525,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",7596,22,0.457222144970775,0.41786087538921535,296,3451.915484950889,40.97499,-74.023248,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,24561.423675187045,29159.768713409543,29050.42557691413
7631,23.323664809905033,1.6719758883101823,003,34,27119,4.932871428571429,4.909845945945946,5523.391222160875,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",28271,137,0.4224183280258933,0.37592626611129554,2250,5758.021801751913,40.891197,-73.972515,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,14988.494340706538,19976.816208951637,19887.042230787963
7632,16.883211205593092,-1.6220074194635743,003,34,5309,3.3332640926640926,2.0928899613899614,2536.683771216575,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",5453,131,0.4799955521620305,0.42958203593808314,1365,2605.4881530314533,40.889682,-73.942047,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,15159.218905801124,20322.19366249245,20247.256831706905
7640,21.74932750430405,0.9789517489745445,003,34,4664,2.059199613899614,1.831922393822394,2545.9593789168875,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",4753,19,0.48548518948068425,0.4450243187085063,108,2594.5422229828405,40.991681,-73.980202,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,26158.124531562604,31045.64574821691,30948.178165056433
7641,22.09137030631473,0.5480225110922824,003,34,3382,2.3558057915057917,1.9446069498069496,1739.1689360853857,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",3418,25,0.4900153457806094,0.451346965168975,68,1757.6816746126103,40.961713,-73.997437,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,22865.014138180763,27647.37922212175,27545.37204248925
7642,17.87765833572066,0.6321193639443713,003,34,10207,2.9512517374517375,2.943569498069498,3467.558692497027,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",10317,49,0.4750249820254434,0.43668360905761966,411,3504.928287497975,41.007127,-74.045119,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,28398.292458252563,32871.530541522305,32757.66553278238
7643,26.944158622159836,5.7410709901717185,003,34,10626,1.7023393822393822,1.4758042471042472,7200.141902864036,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",10782,42,0.4233706033980383,0.3710099610301846,439,7305.846978795411,40.844332,-74.036164,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,10813.573093404138,14811.348551019915,14691.301019745844
7644,22.68068593804291,7.724331999230947,003,34,24136,2.3013606177606176,2.280969884169884,10581.46368678771,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",24430,34,0.4066305767171384,0.35716390597959025,934,10710.356225895914,40.877915,-74.0825,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,15984.12796301959,19447.330332422756,19316.052389204186
7645,18.73379849244835,0.44674565675130146,003,34,7832,3.998600772200773,3.989427413127413,1963.1889965533417,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",8489,20,0.4841094808421588,0.43965751095198,703,2127.874283930199,41.054594,-74.047298,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,33630.19712967807,38147.84330530455,38034.80138990912
7646,21.20295498831045,3.411680256835174,003,34,16341,2.3079166023166025,2.2739988416988415,7186.019491457652,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",16545,38,0.43457554340743854,0.3930246525332036,363,7275.729299685874,40.934161,-74.019453,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,20021.383741233425,24604.275669472772,24495.248259330816
7647,20.331689225109567,2.3071217371077823,003,34,5152,2.2704,2.260381467181467,2279.2612993877415,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",5487,134,0.4387502740037386,0.3963308969086952,487,2427.466372232247,41.006364,-73.942772,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,27976.236559085588,33026.54789552672,32939.13115968323
7648,19.206980295371793,-0.11856839524955784,003,34,5730,2.738195752895753,2.7315907335907337,2097.678810202945,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",5812,28,0.4776325008457358,0.4333091205606471,326,2127.697948499043,40.992252,-73.950917,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,26341.984603132783,31369.928079126035,31280.982000700213
7649,15.404494055219182,-0.8782570348871825,003,34,7978,2.5763555984555984,2.4238332046332047,3291.480612094057,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",8141,21,0.4994458206160778,0.4581322171022011,502,3358.7294639079614,40.956651,-74.032858,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,22686.050903765612,27179.76831228992,27067.368397796938
7650,25.408722143431124,4.076138301205485,003,34,19601,1.2614355212355213,1.23684555984556,15847.572757950073,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",20604,46,0.44203463981828967,0.3888506938056179,1237,16658.506663170414,40.847017,-73.997061,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,10147.13164712213,14886.83978718576,14787.18288356026
7652,19.76737560145804,1.0479557577335552,003,34,26342,10.519673745173746,10.469946718146716,2515.9631380304477,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",26503,41,0.4471537571331847,0.4051466735660873,3862,2531.340484671663,40.947309,-74.070989,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,22536.716664121577,26626.984266268464,26504.450541015
7656,18.72377083636024,0.5184117696646579,003,34,8669,2.618276061776062,2.5975984555984555,3337.313348533989,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",8795,40,0.47560612905464705,0.4349778332998486,414,3385.819690893579,41.0363,-74.043561,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,31569.92754781586,36091.09758618056,35978.358184534
7657,20.03568432005283,1.3875129382785807,003,34,11032,2.8547814671814673,2.551485328185328,4323.7560013116745,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",11227,25,0.43554978051110393,0.3914435726270228,869,4400.18207276343,40.832337,-74.015134,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,8903.368229220054,13266.921001172655,13156.605075528185
7660,24.759020519614232,4.843734542306923,003,34,12729,1.9191339768339768,1.7234876447876448,7385.605599492633,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",12922,25,0.42692889123967653,0.3825474542259104,529,7497.58783538721,40.854705,-74.019926,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,11397.287317096205,15779.858949955817,15668.114129997017
7661,19.5266093172014,1.9398655733560477,003,34,11340,1.887958687258687,1.8475949806949807,6137.708815237424,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",11500,33,0.4840329518388236,0.4439172265569191,429,6224.307881413612,40.927354,-74.039611,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,19632.294202479257,23995.360444831513,23879.89153840207
7662,20.480702907575793,4.0057933112426705,003,34,5530,1.0622393822393823,1.0406864864864864,5313.800142317701,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",5597,21,0.43576066639361494,0.394655736601079,619,5378.180722703829,40.910694,-74.082895,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,19178.564388777853,22925.27551721471,22797.18293206214
7663,20.556168956448996,2.773470398413446,003,34,13659,2.7159467181467183,2.688687644787645,5080.173603088358,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",13845,40,0.4345601402310388,0.3911311187079215,969,5149.352334340604,40.902976,-74.101061,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,19177.230265806254,22606.61752091598,22474.011076398427
7666,21.269313599201194,4.066639773959324,003,34,39776,6.226573745173745,6.006436293436294,6622.2295645533395,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",40458,37,0.4391933763556974,0.3997303371134867,1871,6735.774429874774,40.890317,-74.011478,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,15097.157641160116,19700.6573791048,19593.7148154232
7670,19.186000699132364,-2.665883728140809,003,34,14573,5.274448648648649,4.690237451737452,3107.092156837726,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",14632,49,0.4908725309948424,0.4445422206527542,774,3119.6714773107537,40.918309,-73.950521,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,18170.146835083426,23262.737028078907,23179.924761471582
7675,17.978719990281373,0.7586223973783984,003,34,26339,10.788540926640929,9.61127027027027,2740.4286071813217,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",27024,43,0.4665274918323229,0.42527416205953783,1765,2811.69910324872,41.003506,-74.001778,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,27531.1216590066,32293.790702748825,32190.302372274968
7676,20.36351073741435,1.3906084213867496,003,34,9075,2.9509876447876446,2.900672200772201,3128.5851595309887,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",9207,51,0.4605804371108995,0.4217728491541154,206,3174.0918527605304,40.988306,-74.064693,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,26732.060169774584,31013.394344675635,30894.527547936435
7677,22.637039561513358,-1.2131894935758836,003,34,5730,3.6056737451737457,3.4051266409266407,1682.7567970983566,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",5832,22,0.48205577152333307,0.43413197047598345,373,1712.7116301357096,41.025977,-74.061061,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,30727.439758507193,35114.982818425124,34998.39971914432
7701,29.816231219288703,0.3188071821078187,025,34,23813,10.679416988416987,9.273572586872588,2567.834540240621,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",24028,622,0.44837087060749503,0.404901341675689,2534,2591.0187012514866,40.361667,-74.078076,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,44737.74289520495,39643.971749516706,39731.86436185766
7702,29.899544065391463,0.5750179148898096,025,34,3809,2.199489189189189,2.167595752895753,1757.246476844886,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY",4086,18,0.4342405570077319,0.3978304883320447,709,1885.0378326038867,40.326064,-74.059667,-73.980797,40.756699,40.713415,-74.004809,40.714353,-74.005973,48400.147445586925,43368.884820169354,43462.2926552877
