zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1835,NA,NA,009,25,13682,8.695914671814672,7.812837837837838,1751.2202715558244,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",13958,544,0.4091340643646168,0.36499882223545455,464,1786.546743924587,42.751157,-71.094242,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,44207.303902569765,43736.65783019964,43809.33288596461,NA
1840,NA,NA,009,25,4733,0.5756934362934363,0.49823088803088805,9499.611753710811,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",5573,567,0.3481327631120918,0.29314806002226623,563,11185.577076575188,42.706763,-71.160403,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40047.85019335353,39597.80873569696,39645.037138715794,NA
1843,NA,NA,009,25,24425,3.5930567567567566,3.369234362934363,7249.421491334775,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",25002,1129,0.3691671305087657,0.31387628153937375,838,7420.677016432018,42.689974,-71.160383,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,38221.78197704334,37773.58119536605,37818.94267858788,NA
1844,NA,NA,009,25,47249,23.00607722007722,22.21754942084942,2126.6521840460287,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",50282,59,0.3946894138867614,0.34460458278248224,1699,2263.165889610413,42.742751,-71.178588,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,44280.659700955744,43833.08414804639,43877.82136043866,NA
1845,NA,NA,009,25,28352,27.742879922779924,26.30637915057915,1077.7613991538556,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",30842,28,0.4417321379738834,0.3983512751085284,1635,1172.4152466387984,42.673909,-71.091334,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,35612.727198883884,35143.15733526375,35214.19965718923,NA
1850,NA,NA,017,25,15237,1.477854054054054,1.3597440154440157,11205.785667697504,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",16151,730,0.3720320732260283,0.32466766523432006,139,11877.971012599748,42.656045,-71.303309,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,39073.97641674194,38705.35254485587,38691.46475817471,NA
1851,NA,NA,017,25,30190,3.382615057915058,3.3380436293436295,9044.21971438892,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",30686,908,0.38705261586547657,0.32903468988321477,829,9192.80974348256,42.627812,-71.33533,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,37928.54265807344,37593.88209754882,37560.996032043666,NA
1852,24.419294148648788,NA,017,25,33508,5.195406563706563,4.953185328185328,6764.939686251583,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35532,909,0.3871633830448587,0.33814795650487633,1375,7173.565624086525,42.631849,-71.295785,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,36457.917864587165,36096.88403233425,36078.52156396294,NA
1854,NA,NA,017,25,27606,4.471487644787644,3.933537065637066,7018.111063745373,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",28937,1014,0.3807925501206709,0.32995759747894166,496,7356.483367804095,42.649481,-71.348229,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40496.523052587734,40156.59411917801,40126.531208569235,NA
1862,NA,NA,017,25,10227,9.656340926640926,9.240974517374518,1106.7014610603671,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10623,540,0.4372690132893168,0.38901308838446735,630,1149.554084369246,42.578543,-71.295592,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31594.474074164187,31267.810399410864,31230.683159208547,NA
1863,NA,NA,017,25,8891,4.947959845559845,4.623028957528957,1923.1979902527592,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",9372,362,0.450101822234628,0.4073739432748353,350,2027.242330969392,42.63378,-71.38947,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,41241.75632939015,40934.63882715087,40887.89794735163,NA
1867,NA,NA,017,25,23956,9.95415250965251,9.935661003861004,2411.1128580867125,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",25077,85,0.46936817572409933,0.42670281060926535,949,2523.9387686692476,42.535183,-71.105423,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,20432.7048526551,19979.463300019,20030.075662925192,NA
1876,NA,NA,017,25,28667,20.81737335907336,20.45605945945946,1401.3940493677812,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",30878,130,0.43711457093411504,0.39146823222987304,1313,1509.4793824389835,42.611801,-71.227571,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31781.185171391484,31386.733739488216,31389.06077415104,NA
1880,NA,NA,017,25,24733,7.447498455598455,6.907154054054054,3580.7801312153047,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",26720,92,0.45236147027132345,0.4081680235672091,1649,3868.4528810121274,42.501528,-71.0675,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,16338.558532787618,15865.853693967932,15942.132322165431,NA
1886,NA,NA,017,25,21951,31.36897104247104,30.266968725868725,725.2460660600877,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",24342,42,0.4864425744491646,0.4389510727763303,1148,804.2430750323291,42.585295,-71.439826,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40461.9869633032,40220.73420946404,40144.83714539262,NA
