zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
53158,0.8477611940298507,5.669291338582677,0.7122388059701493,0.7122388059701493,1.4029850746268657,0.9313432835820895,1.889763779527559,1.0155223880597015,1.0155223880597015,1.026865671641791,059,55,15917,31.824890733590735,30.348802316602317,524.4688022265908,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",16750,538,0.3937226101310972,0.33794862968441247,551.9163433621534,42.52436,-87.88553,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,75044.09045878449,74334.21732527971,74967.00124289832,635,0.28692513527874014,0.34760990530708663
53168,-1.5883821193555705,2.973977695167286,-2.746766507828455,-2.746766507828455,-0.8509189925119129,0.7261175402768323,2.6022304832713754,0.2314499659632404,0.2314499659632404,0.9643748581801679,059,55,8643,35.95296640926641,35.18315444015444,245.6573362317896,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",8814,491,0.3859219891542802,0.32639240599215824,250.5176167473092,42.575072,-88.135698,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,88218.06567130338,87455.42813765287,88081.83418897507,269,0.2640183470780669,0.3082508483568773
53170,-1.7639077340569878,0,0.5156037991858887,0.5156037991858887,-1.9900497512437811,-0.045228403437358664,100,-2.03527815468114,-2.03527815468114,0.27137042062415195,059,55,2380,1.8403177606177603,1.0307362934362934,2309.029006891277,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",2211,326,0.3952635679809411,0.3403567376736153,2145.068543796896,42.550836,-88.153803,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,86599.3968712534,85831.76117017429,86454.99160040724,28,0.15476995042857142,0.20186726807142857
53177,-2.166109667038,-4.784688995215311,-1.6709988860007428,-1.6709988860007428,-1.4853323431117713,-1.014977101126377,0,-1.2055947518257208,-1.2055947518257208,-0.8045550191855427,059,55,8329,27.32535907335907,27.278501544401543,305.3320207652458,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",8079,290,0.3721020075587829,0.31044471945180696,296.16729448462246,42.704212,-87.932874,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,95357.9385133502,94655.11443957809,95287.05337894573,418,0.2902874487727273,0.3630410735143541
53179,-0.47599048019039625,0,-0.15959680806383875,-0.15959680806383875,-0.125997480050399,0.22399552008959822,0,0.012599748005039949,0.012599748005039949,0.37799244015119693,059,55,6310,12.095620849420849,10.758769111969112,586.4983191227828,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",7143,488,0.386530379054653,0.3255082469138642,663.9235330418444,42.513801,-88.130588,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,82080.45201279748,81312.00579435252,81934.62637700494,93,0.3023656489139785,0.36907084347311825
53181,0.8579088471849867,4.712041884816754,0.6675603217158177,0.6675603217158177,1.3136729222520107,-0.482573726541555,0,-0.5227882037533511,-0.5227882037533511,-0.44235924932975873,059,55,7357,15.51896138996139,13.950262934362934,527.3735724276492,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",7460,206,0.3871350172232779,0.3248269375471087,534.7569458081097,42.512663,-88.243347,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,87060.86583954784,86281.78141463836,86890.74452179395,191,0.33069848067539265,0.3801387550628272
53182,2.0529935275080904,3.559870550161812,1.9073624595469254,1.9073624595469254,2.315938511326861,-0.27305825242718446,0,-0.35295307443365687,-0.35295307443365687,-0.11124595469255663,059,55,9412,56.839751737451735,56.77604942084942,165.77412652004114,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",9888,360,0.38679594664099487,0.3304224500622541,174.1579433733709,42.702391,-88.041279,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,97911.2047431782,97180.6664244236,97814.35708207315,309,0.29450196892556635,0.3545106324012945
53403,-3.5688522722958353,-5.416248746238716,-4.005467177949049,-4.005467177949049,-2.684232506928889,-1.1200121492843311,0.7021063189568706,-1.2225217358289988,-1.2225217358289988,-0.9833327005581078,059,55,27432,13.286520463320464,9.534921235521235,2877.003314700208,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",26339,1147,0.3571825779211886,0.2965991683005183,2762.372058394896,42.684188,-87.815533,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,91068.37949953224,90401.76512170356,91026.23388323608,997,0.35829882073721164,0.42078818218355063
60002,0.012469864494139163,0.1037344398340249,-0.01579516169257638,-0.01579516169257638,0.4613849862831491,-0.7440352481503034,2.1784232365145226,-0.9701554576440268,-0.9701554576440268,-0.4322886357968243,097,17,24299,37.40466447876448,32.60926138996139,745.1564053971592,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",24058,373,0.4184357421162255,0.36549375274808377,737.7658669511031,42.471077,-88.083818,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,76037.4775502318,75270.85074935188,75894.83163215844,964,0.3321775520072614,0.3902642892302905
60004,-0.5154130215841545,2.4164184045018207,-1.3049230829992693,-1.3049230829992693,0.07504097632259721,-0.343608681056103,0.628930817610063,-0.6204703884357906,-0.6204703884357906,-0.18167815320207747,031,17,50582,11.107561003861004,11.081783011583012,4564.427939721449,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",50639,909,0.467999357660498,0.4155429723116266,4569.571516340881,42.11278,-87.979542,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,39203.83943532976,38426.408857053335,38982.62013074157,3021,0.414553731813969,0.4705631579159219
60005,-3.949599388277536,-10.239268121041519,-3.7132218491306235,-3.7132218491306235,-3.1051564214235845,-0.9608032181920941,-0.7741027445460943,-1.0592107450380663,-1.0592107450380663,-0.9907244256790453,031,17,29308,6.596471428571428,6.555976061776062,4470.425108913569,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",30079,1078,0.4543133374887183,0.4016848139239465,4588.027734782695,42.06449,-87.985462,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,36258.02067824744,35497.6577458668,36012.91563643963,2842,0.39976124180893735,0.4490646074739621
60007,-0.8926148186122251,-4.804560260586319,-0.52712523747776,-0.52712523747776,-0.7659600132685986,0.1960133892222792,-0.8550488599348535,0.3142245408763306,0.3142245408763306,0.18395102680860048,031,17,33820,14.44255250965251,14.07727606177606,2402.45341865755,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",33161,294,0.4397438871717347,0.38045842766827304,2355.6403848640757,42.00865,-87.99736,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,33997.71622287862,33279.82016828825,33725.22871316524,4912,0.35034425242874595,0.42783523089271175
60008,1.2555971010478697,24.079164376030786,-1.3580759820892767,-1.3580759820892767,-0.9278493283478743,-1.7864561695056087,-12.644310060472788,-0.9984766652818169,-0.9984766652818169,-1.7449106771915246,031,17,22717,5.174198069498069,5.1695861003861,4394.355671589132,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",21663,417,0.44335683902714623,0.3866807446330091,4190.470877036376,42.069786,-88.016221,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,38694.54115590794,37939.09657496829,38444.87118222703,1819,0.46910096047058825,0.5314361975393074
60010,3.9608223011516523,5.783385909568875,4.166828113227854,4.166828113227854,4.4602303304272954,0.7361963190184049,0.5257623554153523,0.9297169303627166,0.9297169303627166,1.020342266709719,031,17,44095,76.42910308880309,73.78285675675676,597.6320508349244,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",46455,816,0.47415060461686775,0.41743300197316,629.6178006925142,42.146794,-88.165268,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,53690.462745392746,52933.283090885314,53442.06693758663,3804,0.4448587466979495,0.49939892728391166
60012,5.428759274913121,-4.672897196261682,6.486334178641871,6.486334178641871,5.654174884944116,0.9016624401239786,0,1.0059171597633136,1.0059171597633136,0.9204470742932281,111,17,11120,17.22624942084942,17.21769691119691,645.8471221414351,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",10647,550,0.4161508065789109,0.3629882975986331,618.3753875395557,42.272492,-88.314084,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,71819.6988198858,71050.62090191466,71583.99396691553,428,0.4007728346752336,0.45161938110514016
60013,1.6405836546458004,2.2988505747126435,1.7449157027292657,1.7449157027292657,1.8295909881303394,0.3515536402812429,-0.28735632183908044,0.4638239963710593,0.4638239963710593,0.5178800937476374,097,17,26872,15.406106177606178,14.582106563706564,1842.806447929943,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",26454,732,0.43396488318211834,0.3794265461298537,1814.1411794261203,42.223188,-88.235532,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,63344.78735303444,62576.72671872931,63107.82367863135,1044,0.39469960401341,0.45820021293773944
60014,-0.031209038137444602,-3.4504590060145612,0.007074048644487423,0.007074048644487423,0.3370576118844017,-0.684518236481285,-0.4748338081671415,-0.7654536753843912,-0.7654536753843912,-0.5367954559640472,111,17,48550,26.425461003861,25.30354478764479,1918.703502115877,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",48063,806,0.43215497982232554,0.3793913343695059,1899.457186862933,42.232414,-88.327449,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,70108.68903014311,69349.9160076566,69861.60358365352,3159,0.37838394805729664,0.4343811235872111
60015,4.006683860656036,8.980938416422287,3.1581241599767518,3.1581241599767518,3.581677503723346,1.3404046641723273,0.10997067448680353,1.700751934323804,1.700751934323804,1.1660430818409677,031,17,26800,13.716811196911197,13.52789806949807,1981.0912133073432,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",27529,475,0.5034216988512388,0.4499590885675486,2034.9798511618603,42.173809,-87.878173,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,38953.344991076774,38180.24223996376,38798.74838906475,2728,0.5063756280146627,0.5620734421686218
60016,-4.014099947715505,-6.285933307780758,-5.102292084802078,-5.102292084802078,-3.3597004604408767,-1.2227825470982105,-3.3729398236872363,-1.4319205275674218,-1.4319205275674218,-1.0574960786628662,031,17,59690,10.721942084942086,10.624936293436294,5617.916037470676,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",59291,954,0.4286727871555012,0.3750041526024635,5580.362871128729,42.04958,-87.895,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,29315.08008989932,28539.84443936417,29089.658448823782,2609,0.3382278422859333,0.3883727269934841
