MetroShort,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Phoenix, AZ",4232617,4809032,15649.68113,15623.58784,179247,270.9119726,307.805867,38060,"Phoenix-Mesa-Scottsdale, AZ",Phoenix-Mesa-Scottsdale,AZ,0.34667766,0.44133058,0.38884294,0.48088622,AZ,300091.413,-112.074,33.476898
"Riverside, CA",4170209,4505876,9874.33189,9828.782716,134303,424.2853994,458.4368309,40140,"Riverside-San Bernardino-Ontario, CA",Riverside-San Bernardino-Ontario,CA,0.248191,0.30152175,0.30143875,0.3496232,CA,390262.555,-117.376,33.980202
"Detroit, MI",4275414,4285707,4391.751215,4235.696669,171032,1009.376812,1011.806872,19820,"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,MI,0.32424751,0.43224531,0.35065165,0.44599846,MI,175731.6303,-83.049103,42.332298
"Seattle, WA",3406020,3835346,4920.597172,4687.218837,193259,726.6611861,818.2562268,42660,"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma-Bellevue,WA,0.37474459,0.49018329,0.42281505,0.53369951,WA,538565.8321,-122.335,47.6077
"Minneapolis, MN",3310896,3549082,6850.294152,6495.090534,166677,509.7536335,546.4253318,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul-Bloomington,MN-WI,0.36763227,0.47622299,0.41136688,0.51238036,MN,296339.7439,-93.267601,44.977901
"San Diego, CA",3041838,3260294,2725.033786,2688.791006,156427,1131.303249,1212.550173,41740,"San Diego-Carlsbad, CA",San Diego-Carlsbad,CA,0.3477357,0.45893136,0.39516366,0.50030339,CA,640441.6839,-117.162,32.714001
"Tampa, FL",2776089,3084405,2723.180076,2501.362784,141928,1109.830616,1233.089826,45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg-Clearwater,FL,0.34797734,0.43807134,0.39938056,0.49317366,FL,237834.6194,-82.456398,27.9491
"St. Louis, MO",2859405,2875111,10286.53237,10077.90691,125135,283.7300468,285.2885054,41180,"St. Louis, MO-IL",St. Louis,MO-IL,0.32588252,0.41826496,0.37592381,0.46641737,MO,174992.3811,-90.192802,38.6283
"Baltimore, MD",2769977,2856239,3036.308798,2854.276345,120545,970.4655981,1000.687619,12580,"Baltimore-Columbia-Towson, MD",Baltimore-Columbia-Towson,MD,0.35200542,0.46967423,0.4155007,0.52644682,MD,289519.4184,-76.613998,39.2901
"Denver, CO",2506951,2850907,8638.507733,8579.675966,154086,292.1964664,332.2860923,19740,"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,CO,0.3743498,0.50087583,0.42583242,0.54984295,CO,461974.4113,-104.997,39.749298
"Portland, OR",2296028,2520998,4637.147713,4532.273649,128995,506.5951833,556.2325216,38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland-Vancouver-Hillsboro,OR-WA,0.34609646,0.43952808,0.39116162,0.47749302,OR,423357.6639,-122.676,45.518501
"Orlando, FL",2107196,2470593,3321.870356,2910.519832,120406,723.9930052,848.8493955,36740,"Orlando-Kissimmee-Sanford, FL",Orlando-Kissimmee-Sanford,FL,0.30913433,0.40698722,0.3507984,0.44835913,FL,269179.4749,-81.378799,28.543501
"San Antonio, TX",2140051,2463804,7617.925059,7558.658619,80781,283.1257645,325.9578352,41700,"San Antonio-New Braunfels, TX",San Antonio-New Braunfels,TX,0.3269262,0.41764671,0.37705666,0.4631488,TX,203763.3977,-98.4907,29.426399
"Cincinnati, OH",2346068,2407841,6631.198608,6541.125719,84301,358.6642576,368.1080449,17140,"Cincinnati, OH-KY-IN",Cincinnati,OH-KY-IN,0.31457672,0.41423383,0.36198092,0.45618263,OH,191286.8893,-84.5093,39.100498
"Sacramento, CA",2209489,2380516,5096.927435,5019.393163,91178,440.1904629,474.2637053,40900,"Sacramento--Roseville--Arden-Arcade, CA",Sacramento--Roseville--Arden-Arcade,CA,0.3502709,0.44375852,0.40342751,0.4892731,CA,434196.5711,-121.493,38.579201
"Pittsburgh, PA",2360528,2334327,5564.469288,5506.240732,95791,428.7004718,423.9420529,38300,"Pittsburgh, PA",Pittsburgh,PA,0.31597543,0.3994509,0.36815506,0.45329663,PA,155737.5367,-80.001503,40.440899
"Kansas City, MO",2134909,2250731,9722.363322,9577.907863,91200,222.8993044,234.9919243,28140,"Kansas City, MO-KS",Kansas City,MO-KS,0.34792081,0.4454512,0.39479804,0.48864263,MO,201317.5375,-94.583504,39.101601
"Las Vegas, NV",1948681,2179948,5332.802738,5193.078829,84732,375.2457962,419.7794934,29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas-Henderson-Paradise,NV,0.23964137,0.32357496,0.30407009,0.37342075,NV,319620.751,-115.141,36.1702
"Austin, TX",1775659,2177584,5870.20088,5793.022355,99626,306.5168562,375.8977381,12420,"Austin-Round Rock, TX",Austin-Round Rock,TX,0.39755037,0.52127868,0.45512399,0.57666129,TX,326027.3944,-97.746995,30.264924
"Charlotte, NC",1891743,2172467,3781.673646,3713.88224,96335,509.3707548,584.9585042,16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,NC-SC,0.32954726,0.4663735,0.37868536,0.5115307,NC,231630.7258,-80.843002,35.2243
"Columbus, OH",1927792,2104675,4782.868472,4730.512099,75737,407.5228981,444.9148329,18140,"Columbus, OH",Columbus,OH,0.34627905,0.44996524,0.3954353,0.49789947,OH,213123.1827,-82.999496,39.961201
"San Jose, CA",1822974,1972474,2547.530794,2535.351047,89778,719.0223233,777.9885166,41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose-Sunnyvale-Santa Clara,CA,0.47426072,0.63637751,0.51112145,0.66457206,CA,1191312.669,-121.89,37.334202
"Cleveland, OH",1967540,1944436,1784.576953,1748.249783,82617,1125.434145,1112.218642,17460,"Cleveland-Elyria, OH",Cleveland-Elyria,OH,0.31750074,0.4021273,0.3654854,0.44317737,OH,159208.2,-81.689697,41.501301
"Indianapolis, IN",1665959,1798936,3390.065163,3361.959434,74276,495.5321541,535.085576,26900,"Indianapolis-Carmel-Anderson, IN",Indianapolis-Carmel-Anderson,IN,0.31272539,0.4090918,0.35959107,0.45413646,IN,178015.1023,-86.153535,39.767721
"Nashville, TN",1563416,1770863,5816.075346,5743.691496,73736,272.1970707,308.3144353,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson--Murfreesboro--Franklin,TN,0.30752152,0.40069273,0.36409286,0.45780593,TN,282811.5735,-86.784476,36.16775
"Virginia Beach, VA",1634069,1680325,3043.747149,2514.501954,64138,649.8579162,668.2536069,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach-Norfolk-Newport News,VA-NC,0.30519652,0.39614105,0.34641182,0.42769811,VA,251669.4339,-76.057344,36.750525
"Providence, RI",1600852,1618268,1758.127555,1586.902473,69993,1008.790413,1019.765252,77200,"Providence-Warwick, RI-MA",Providence-Warwick,RI-MA,0.31182271,0.39236581,0.36166343,0.44020227,RI,325920.5032,-71.413696,41.824001
"Jacksonville, FL",1365245,1521415,3268.717359,3058.324731,70362,446.4028906,497.4667944,27260,"Jacksonville, FL",Jacksonville,FL,0.31392929,0.40762556,0.36613652,0.46043634,FL,230064.2157,-81.659069,30.33006
"Milwaukee, WI",1504855,1521015,1368.391304,1322.244092,63371,1138.106806,1150.328452,33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee-Waukesha-West Allis,WI,0.32395992,0.42956898,0.36482447,0.46419871,WI,259273.3605,-87.907097,43.036098
"Richmond, VA",1384485,1475169,7019.223209,6804.186905,62118,203.4754511,216.8031273,40060,"Richmond, VA",Richmond,VA,0.33731318,0.45246115,0.38674715,0.50246274,VA,241229.7975,-77.437401,37.542801
"Oklahoma City, OK",1292880,1424318,6463.845429,6385.498623,62061,202.4712675,223.0550947,36420,"Oklahoma City, OK",Oklahoma City,OK,0.32024133,0.40652001,0.37340865,0.46068013,OK,155947.5458,-97.522499,35.468201
"Memphis, TN",1324563,1348364,4829.027703,4710.061937,42666,281.2198688,286.2730932,32820,"Memphis, TN-MS-AR",Memphis,TN-MS-AR,0.2602374,0.34014583,0.31813696,0.3973625,TN,153305.2455,-90.055496,35.1427
"Hartford, CT",1278432,1272609,1682.232681,1637.427731,49641,780.75629,777.2001025,73450,"Hartford-West Hartford-East Hartford, CT",Hartford-West Hartford-East Hartford,CT,0.37761199,0.48062438,0.43547434,0.53337711,CT,260226.2296,-72.670601,41.764702
"New Orleans, LA",1109797,1179135,2287.663081,1646.22016,49211,674.1485901,716.2681083,35380,"New Orleans-Metairie, LA",New Orleans-Metairie,LA,0.27050275,0.35226095,0.32029042,0.40050876,LA,195541.431,-90.070801,29.952499
"Salt Lake City, UT",1071123,1178267,2151.026497,2115.985359,58734,506.2052984,556.8408095,41620,"Salt Lake City, UT",Salt Lake City,UT,0.39780337,0.48986137,0.43339336,0.52558041,UT,376905.7038,-111.889,40.763599
"Birmingham, AL",1152021,1173400,6054.923454,5959.892784,42256,193.2955913,196.8827364,13820,"Birmingham-Hoover, AL",Birmingham-Hoover,AL,0.29884958,0.38673604,0.34709781,0.44548419,AL,169825.9205,-86.810699,33.517399
"Buffalo, NY",1117380,1112978,1541.112001,1522.981976,45349,733.6790703,730.7886881,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,0.3167901,0.38766649,0.37684783,0.43951178,NY,178547.1477,-78.873299,42.884102
"Raleigh, NC",900428,1036389,1995.447461,1971.511756,48800,456.7195694,525.6823841,39580,"Raleigh, NC",Raleigh,NC,0.35944811,0.49456331,0.41300467,0.54099578,NC,287691.9419,-78.639099,35.7766
"Rochester, NY",1041129,1035404,2819.493235,2791.94044,38423,372.9051612,370.8546161,40380,"Rochester, NY",Rochester,NY,0.33922747,0.40852714,0.39265522,0.45416301,NY,162238.2993,-77.607498,43.1563
"Fresno, CA",972978,1029512,5513.636759,5461.08082,30022,178.1658305,188.5179938,23420,"Fresno, CA",Fresno,CA,0.27334729,0.32261312,0.31901005,0.36268142,CA,269883.4699,-119.793,36.7369
"Allentown, PA",1003571,1016995,2144.496782,2111.092348,35928,475.3799619,481.7387553,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,211401.7618,-75.4729,40.602001
"Tucson, AZ",937014,974966,2845.224658,2844.089485,34767,329.4600979,342.8042631,46060,"Tucson, AZ",Tucson,AZ,0.3300246,0.40594903,0.37286454,0.4464902,AZ,225181.5503,-110.97,32.2211
"Bridgeport, CT",943826,970040,732.1532514,681.7820761,49122,1384.351442,1422.800678,71950,"Bridgeport-Stamford-Norwalk, CT",Bridgeport-Stamford-Norwalk,CT,0.36836004,0.51833683,0.4395192,0.58285922,CT,471013.0015,-73.191902,41.177898
"Tulsa, OK",904929,952930,5940.797357,5786.523571,39908,156.3856068,164.6809156,46140,"Tulsa, OK",Tulsa,OK,0.29516971,0.38411924,0.35133934,0.43774456,OK,146722.3021,-95.990799,36.1521
"Albany, NY",932389,941115,3459.153246,3395.557288,36791,274.5908612,277.1606897,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,235056.0463,-73.750999,42.6525
"Omaha, NE",873118,938317,5044.749791,4986.314419,39825,175.1028769,188.1784663,36540,"Omaha-Council Bluffs, NE-IA",Omaha-Council Bluffs,NE-IA,0.34043512,0.42004812,0.38899702,0.4640663,NE,198080.3949,-95.933098,41.256699
