MetroShort,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Bangor, ME",-1.8178290813851976,-2.3587223587223587,-2.1435638762246576,-2.1435638762246576,-1.5662689559284768,-1.0786691240663497,0.2457002457002457,-1.3008697901510007,-1.3008697901510007,-0.885310570052058,156762,154635,4740.369784555985,4518.916962548263,6105,34.69017052077017,34.219482517952656,70750,"Bangor, ME",Bangor,ME,0.26170117,0.29610863,0.31269535,0.34144187,ME,160326.36203730578,-68.769997,44.800098
"Barnstable Town, MA",3.3996694765786657,-1.9148777021467573,3.961744460029349,3.961744460029349,1.0378620597071582,-0.520782701681781,-0.8153190216171742,-0.8462140254882629,-0.8462140254882629,-0.044903041833895777,217878,216021,492.18945405405407,399.1644420849421,13369,545.8351922880837,541.1829742941652,70900,"Barnstable Town, MA",Barnstable Town,MA,0.24421783,0.29427299,0.31125712,0.35548064,MA,452055.78513216093,-70.283425,41.652944
"Baton Rouge, LA",-0.9882469440611377,-1.2518114266333673,-1.124339050186115,-1.124339050186115,-0.9880249159901285,-0.35613302589846435,-0.169580365676934,-0.4371732718167558,-0.4371732718167558,-0.3531356469398426,865501,900787,4430.112434749035,4307.941427413128,32433,200.9082562015529,209.09917536666993,12940,"Baton Rouge, LA",Baton Rouge,LA,0.25683343,0.32415456,0.30453247,0.35679933,LA,193836.45788083883,-91.188202,30.452801
"Battle Creek, MI",-4.091312414293781,-2.6366149266425687,-4.804603264230593,-4.804603264230593,-3.037293968970988,-1.9192815466107391,-1.3608335105251965,-2.2154284638756687,-2.2154284638756687,-1.4369067785216854,187632,185955,1311.3389455598456,1292.431537065637,4703,145.17751588297168,143.87996165908797,12980,"Battle Creek, MI",Battle Creek,MI,0.26593491,0.33650032,0.29806584,0.35238397,MI,113546.55557199148,-85.182701,42.319
"Bay City, MI",-2.090648678617631,-2.2357019064124786,-2.9117191831454443,-2.9117191831454443,-0.8853492884864166,-1.2116521899833672,-0.901213171577123,-1.5469645167251893,-1.5469645167251893,-0.7438551099611902,177511,173152,950.533540926641,909.9490227799228,5770,195.07796102434216,190.28758278240161,13020,"Bay City, MI",Bay City,MI,0.20659722,0.24416237,0.26032704,0.29734078,MI,108191.36390282011,-83.888901,43.5961
"Beaumont, TX",-1.9119892829916836,-0.34086405073325404,-2.4839824639744212,-2.4839824639744212,-1.917416865472434,-0.8721138213387873,-0.5628220372572335,-1.1048337556156977,-1.1048337556156977,-0.8432489508729774,400638,405337,2266.3438073359075,2157.631761776062,12615,185.68414087036496,187.8619916432568,13140,"Beaumont-Port Arthur, TX",Beaumont-Port Arthur,TX,0.25647792,0.30148351,0.30156973,0.33036759,TX,147181.61930188752,-94.095497,30.0819
"Bellingham, WA",-1.3842242007540952,-1.2722646310432568,-1.8217499445518204,-1.8217499445518204,-0.8075631317131904,-0.4059598872025601,-0.19276736833988742,-0.5400256645860397,-0.5400256645860397,-0.2732803143119673,230247,252488,2684.3789494208495,2598.5632795366796,12969,88.60550051375033,97.16446083430311,13380,"Bellingham, WA",Bellingham,WA,0.28736007,0.34359622,0.33680251,0.37612796,WA,416400.8270916372,-122.482,48.749298
"Bend, OR",2.431383195330528,1.0487200660611065,2.6146328220442516,2.6146328220442516,2.4053210261979094,0.685217863445093,0.3550784475639967,0.7698656169404098,0.7698656169404098,0.8356182978145785,156757,184175,1434.938323166023,1410.091203088803,12110,111.16798662144971,130.61211898674702,13460,"Bend-Redmond, OR",Bend-Redmond,OR,0.2822699,0.33889672,0.33221695,0.3842653,OR,424328.1840709289,-121.315829,44.057305
"Billings, MT",-3.13291121237463,-2.870680044593088,-4.5231227848605355,-4.5231227848605355,-2.7346838928427175,-1.9353847729250935,-1.309921962095875,-2.6367768618549428,-2.6367768618549428,-1.7254620859146999,163974,175779,5276.942522007722,5245.556185714286,10764,31.259602260398193,33.51007858398608,13740,"Billings, MT",Billings,MT,0.27161101,0.31679907,0.33685398,0.37885228,MT,269067.7483869488,-108.508,45.782902
"Binghamton, NY",-3.3244847504357833,-1.4143730886850152,-4.039321127605679,-4.039321127605679,-2.305188763439023,-1.377796512974757,-0.0891946992864424,-1.6514949547886781,-1.6514949547886781,-0.9733441187305132,273395,263319,1669.2477953667951,1651.9662718146717,7848,165.49672028090367,159.3973221443233,13780,"Binghamton, NY",Binghamton,NY,0.30214229,0.36203703,0.34981284,0.39644367,NY,120724.46778470588,-75.9104,42.101101
"Birmingham, AL",-0.955428668825635,-1.2021961378265809,-1.2398926197375149,-1.2398926197375149,-0.9836372933356059,-0.3687574569626726,-0.1964218099204847,-0.45793420828362025,-0.45793420828362025,-0.3391852735640021,1152021,1173400,6054.923454054054,5959.892784169884,42256,193.29559133343668,196.8827364003387,13820,"Birmingham-Hoover, AL",Birmingham-Hoover,AL,0.29884958,0.38673604,0.34709781,0.44548419,AL,175753.8002819586,-86.810699,33.517399
"Bismarck, ND",-6.720449075271852,-5.15385781415795,-8.711103793776607,-8.711103793776607,-5.359424857507977,-2.973712475793996,-2.1979687736850084,-3.9062806250049,-3.9062806250049,-2.451568392250943,110483,127551,4612.329762934363,4553.266646718147,6597,24.26455742046926,28.01307498473317,13900,"Bismarck, ND",Bismarck,ND,0.31134871,0.37883413,0.37784684,0.42710263,ND,273243.05044371815,-100.786,46.810799
"Blacksburg, VA",-4.168248123495256,-0.7494429815677537,-4.523042062030874,-4.523042062030874,-3.7892649766322046,-2.2823962611528112,-0.18229694146242656,-2.6546948024359156,-2.6546948024359156,-2.1152811216541565,171947,176525,1425.2716243243244,1407.226432046332,4937,122.1885803764797,125.44178817285604,13980,"Blacksburg-Christiansburg-Radford, VA",Blacksburg-Christiansburg-Radford,VA,0.24917877,0.33297387,0.29663071,0.35563603,VA,184857.0129383573,-80.412496,37.227883
"Bloomington, IL",-2.4173229553689612,-3.391684901531729,-2.8922528121183007,-2.8922528121183007,-1.7570309345789614,-0.892314139550572,0.437636761487965,-1.086057719335006,-1.086057719335006,-0.6240066233626853,192963,195671,1774.8556868725868,1769.559994980695,6398,109.04575179555025,110.57607572222194,14010,"Bloomington, IL",Bloomington,IL,0.31589025,0.40556529,0.39406082,0.45647529,IL,169941.92581364186,-88.994301,40.479099
"Bloomington, IN",-16.144089173846893,-9.3906720160481445,-23.136497797269328,-23.136497797269328,-15.287626175352456,-6.02702069255918,-4.551153460381144,-8.285326119340729,-8.285326119340729,-5.716771341063747,245172,251733,2047.91046023166,2014.583835907336,7976,121.6985839110431,124.95533594243474,14020,"Bloomington, IN",Bloomington,IN,0.24744318,0.3343347,0.31074828,0.39239019,IN,204636.61120511912,-86.532997,39.167301
"Boise City, ID",0.07857422986207392,0.13337873886145638,-0.1935770745529968,-0.1935770745529968,0.38085716337363773,0.009528333673959754,-0.4058119075997502,-0.09734090444600335,-0.09734090444600335,0.1720623733007805,629930,724156,13028.570476447878,12955.14931119691,35238,48.623908908217864,55.89715584166402,14260,"Boise City, ID",Boise City,ID,0.31831571,0.3940745,0.36559424,0.43833736,ID,294668.02562564425,-116.209,43.617199
"Boston, MA",-3.2364759094070807,-4.342595144658381,-3.6637930238271603,-3.6637930238271603,-2.5266547254810083,-0.7903390102197914,-0.9467434911384983,-0.8590613751902885,-0.8590613751902885,-0.6913080359992472,4592369,4872213,3749.0872656370657,3521.3595389961392,228573,1304.1465800760525,1383.6170223586312,71650,"Boston-Cambridge-Nashua, MA-NH",Boston-Cambridge-Nashua,MA-NH,0.38872615,0.50142014,0.44353771,0.55328661,MA,496401.3644800437,-71.058701,42.3549
"Boulder, CO",-4.850496384582666,-5.916069600818833,-4.995520321450873,-4.995520321450873,-4.406600964714612,-0.5959329948687319,-0.4776526782668032,-0.6514764839500811,-0.6514764839500811,-0.5481950062896497,395142,441996,1167.7273644787645,1150.4243247104248,29310,343.47500440714504,384.20258552100375,14500,"Boulder, CO",Boulder,CO,0.43129793,0.57092148,0.48474351,0.61478943,CO,576200.1441351316,-105.279,40.017601
"Bowling Green, KY",0.023786317645966767,-2.3423740753786544,-0.032662675206534805,-0.032662675206534805,0.09166434605031096,-0.024946625823818805,-0.8101444170482565,-0.03051610507750857,-0.03051610507750857,0.0052213868003341685,156847,172368,1461.4520965250963,1439.978301158301,5678,108.92316910180811,119.70180374339618,14540,"Bowling Green, KY",Bowling Green,KY,0.23447031,0.28097332,0.28206563,0.32558066,KY,162285.06509947334,-86.443052,36.993065
"Bremerton, WA",-3.6134852637012758,-3.512491933253434,-5.366805131634106,-5.366805131634106,-2.7989786620750343,-1.2666253234987406,-2.3693187056328937,-1.7948593581646404,-1.7948593581646404,-1.0396998347428121,271486,288641,574.2508162162162,493.4719737451737,10847,550.1548506181101,584.9187296481657,14740,"Bremerton-Silverdale, WA",Bremerton-Silverdale,WA,0.28252414,0.34823465,0.31175879,0.34425002,WA,389074.9745056082,-122.628,47.565601
"Bridgeport, CT",0.3541091089027257,0.622938805423232,0.2482268772421756,0.2482268772421756,-0.048863964372603194,-0.28864789080862646,-0.8611212898497619,-0.27367943589955057,-0.27367943589955057,-0.3573048534081069,943826,970040,732.1532513513514,681.782076061776,49122,1384.351441815376,1422.800677898879,71950,"Bridgeport-Stamford-Norwalk, CT",Bridgeport-Stamford-Norwalk,CT,0.36836004,0.51833683,0.4395192,0.58285922,CT,461022.7317944977,-73.191902,41.177898
"Brownsville, TX",2.23502526029495,0.637342908438061,3.16020264604819,3.16020264604819,-0.24896246068859257,0.9174031806128704,0.08976660682226212,1.2942759772363759,1.2942759772363759,-0.11203310730986667,410201,425767,1241.0831876447876,992.7732362934364,11140,413.18700485067865,428.8663155239965,15180,"Brownsville-Harlingen, TX",Brownsville-Harlingen,TX,0.25531706,0.26489711,0.30608734,0.31644228,TX,116349.2274681781,-97.5056,25.895599
"Brunswick, GA",0.8410026294729622,-0.7731472751272864,0.8002029267177317,0.8002029267177317,-0.7759803361152395,-0.5523322281925231,0.58457476899868,-0.8620098319423801,-0.8620098319423801,-1.0346404481536526,135770,139952,1907.1790258687256,1778.7220965250965,5303,76.33008004186807,78.68120617234676,15260,"Brunswick, GA",Brunswick,GA,0.24964367,0.32147658,0.29583165,0.37680805,GA,183637.49773553325,-81.494138,31.149451
"Buffalo, NY",-2.0880017394773303,-2.0573772299278925,-2.4629597350531633,-2.4629597350531633,-1.3588768151751427,-0.7584157099241854,-0.36163972744713224,-0.8977805491213662,-0.8977805491213662,-0.5100729753867552,1117380,1112978,1541.1120007722009,1522.9819756756756,45349,733.6790703017158,730.7886880973913,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,0.3167901,0.38766649,0.37684783,0.43951178,NY,171888.2317428207,-78.873299,42.884102
"Burlington, NC",2.6283315726986323,0.6327334083239595,3.1320289055707726,3.1320289055707726,2.487169179855846,0.7777954360609148,-0.8014623172103487,0.8806289672708917,0.8806289672708917,0.7665772326561902,199001,213938,860.7195888030889,841.5433308880309,7112,236.4714836371004,254.2210153032095,15500,"Burlington, NC",Burlington,NC,0.19653264,0.2714473,0.24157783,0.32238665,NC,172118.79721918155,-79.436501,36.0942
"Burlington, VT",-6.415357205052981,-9.329710144927535,-8.189482332873402,-8.189482332873402,-6.222900954243638,-2.2308849861797655,-0.7789855072463768,-2.6678187249661747,-2.6678187249661747,-1.9446565482011366,216015,223947,1352.9890355212356,1335.4994432432431,11040,161.74847626698394,167.687827301633,72400,"Burlington-South Burlington, VT",Burlington-South Burlington,VT,0.3598876,0.44955829,0.39019921,0.46076444,VT,329753.95379541704,-73.212806,44.476364
"Canton, OH",-1.7928422358693612,10.192504417371897,-2.7781299912657103,-2.7781299912657103,-1.1588579575910773,-1.0753244067621361,-0.6044824700083697,-1.3474478731596091,-1.3474478731596091,-0.7934326847465559,372957,367517,1318.7162907335908,1307.2977857142855,10753,285.28848138163295,281.12722595884674,15940,"Canton-Massillon, OH",Canton-Massillon,OH,0.24656302,0.28945863,0.30344361,0.33738163,OH,136649.22345414135,-81.373398,40.801998
"Cape Coral, FL",7.008441644784832,18.336338565973694,7.746504602330553,7.746504602330553,-0.16117787849151424,2.4960823958215537,5.656024607551973,2.867375584223208,2.867375584223208,-0.21635365185329708,675632,804701,1117.2913050193051,892.9473320463321,37712,756.6314112296868,901.1740907001744,15980,"Cape Coral-Fort Myers, FL",Cape Coral-Fort Myers,FL,0.23383056,0.29604116,0.28104809,0.34265724,FL,245058.47386354685,-81.952103,26.570601
"Cape Girardeau, MO",-3.057406884773752,-0.6206507429001317,-4.1924465767897585,-4.1924465767897585,-3.0342501935754655,-1.6122846246806908,0.07523039307880384,-2.2426531778940437,-2.2426531778940437,-1.546432784085564,138784,138189,2448.0041285714287,2408.449701158301,5317,57.62379008091981,57.376743194404455,16020,"Cape Girardeau, MO-IL",Cape Girardeau,MO-IL,0.23614335,0.28795466,0.29438105,0.34754267,MO,152776.29319268643,-89.522596,37.303701
"Carson City, NV",-1.6754892914380068,-3.3073406829792957,-2.2356045521506154,-2.2356045521506154,-1.379243358748968,-0.33509785828760136,-1.7477816617370259,-0.26063166755702333,-0.26063166755702333,-0.16512068379389055,61818,61773,134.78498764478763,133.7298640926641,3719,462.26024694951514,461.92374769181146,16180,"Carson City, NV",Carson City,NV,0.32205141,0.42105901,0.37266412,0.46918952,NV,333499.188842482,-119.766845,39.164604
"Casper, WY",0.12924985844063125,-0.4691005506832551,0.1074620251606391,0.1074620251606391,0.46037568625520076,-0.25726876584849456,-0.6322659596165613,-0.3904576675939831,-0.3904576675939831,-0.09478322952312956,76361,81238,6232.025371042471,6199.776769498069,4903,12.316733785591143,13.103375011771108,16220,"Casper, WY",Casper,WY,0.2088577,0.29577693,0.27477163,0.35980937,WY,212143.8203425078,-106.322,42.850399
"Cedar Rapids, IA",-4.614766566290916,-3.729496930266654,-5.956036107801496,-5.956036107801496,-3.5139524582902704,-1.9732934119400216,-1.4111610006414368,-2.5763719831478613,-2.5763719831478613,-1.5670978131362903,279353,291239,2738.8703277992277,2723.727970656371,10913,102.56273864701724,106.92661056376215,16300,"Cedar Rapids, IA",Cedar Rapids,IA,0.34184426,0.4455798,0.38302651,0.47254372,IA,171513.77702465456,-91.6688,41.979301
"Champaign, IL",-5.093549955099317,-6.748971193415638,-5.73567091506768,-5.73567091506768,-4.357425913873075,-1.869351370500663,1.3031550068587106,-2.1482299244515115,-2.1482299244515115,-1.591708615164073,235376,242758,2175.375814285714,2172.3448362934364,7290,108.35112182355464,111.74929318045372,16580,"Champaign-Urbana, IL",Champaign-Urbana,IL,0.31590319,0.38879833,0.38203219,0.43962622,IL,161701.18161235977,-88.243202,40.116001
"Charleston, SC",-0.16408317100562805,-0.44626360819760663,-0.5157389135993604,-0.5157389135993604,-0.7301891461456952,-0.4266416248421667,-0.4348938347403428,-0.6035545008661002,-0.6035545008661002,-0.48806177547381713,677976,788015,3217.342466795367,2934.4360714285713,35181,231.04132565748515,268.54052390937613,16700,"Charleston-North Charleston, SC",Charleston-North Charleston,SC,0.28707051,0.36801305,0.33705798,0.40912122,SC,277122.0047220648,-79.9347,32.783298
"Charleston, WV",-1.2551177719369189,-2.2293357722647764,-1.7266162050141527,-1.7266162050141527,-1.136966740800647,-0.5556889405580268,-0.02286498227963873,-0.7406869187221997,-0.7406869187221997,-0.49882480792559647,330330,316544,3075.197446332046,3052.8887413127413,8747,108.20243644318272,103.68671341225694,16620,"Charleston, WV",Charleston,WV,0.29985622,0.37337601,0.36730754,0.4355419,WV,103028.37372098945,-81.635399,38.351002
