zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google
60175,2.8291124800365046,6.963788300835655,3.232184957030953,3.232184957030953,2.494486272720359,1.779603011635866,4.36397400185701,2.042360635789794,2.042360635789794,2.2815423226100844,21.978414507964757,-0.9515474990002946,089,17,25564,34.510309266409266,34.23069691119691,746.815060947181,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",26298,977,0.44335841293712575,0.3918583051464304,1077,768.2578028786171,41.948188,-88.388701,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,63651.76362905695,63066.49295929689,63348.89368178604
60176,-4.16487393511746,-3.928571428571429,-4.605455640650546,-4.605455640650546,-3.9669563720850185,-5.180277084588245,2.5,-6.958093107305739,-6.958093107305739,-4.758626624214783,19.043249539418294,2.691994261839155,031,17,11795,2.6488872586872585,2.6488872586872585,4452.813143072534,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",11621,54,0.38894545128825375,0.32251370900666443,840,4387.125183183206,41.958125,-87.868886,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,21990.89189340361,21282.218034067944,21715.026889292538
60177,0.32175032175032175,-3.865213082259663,0.4555984555984556,0.4555984555984556,0.12012012012012012,-0.07293007293007293,-1.7839444995044598,0.06392106392106392,0.06392106392106392,0.12012012012012012,19.41980906007339,1.5627162753661663,089,17,22659,8.868059845559845,8.54385945945946,2652.080141008494,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",23310,304,0.4258154274466394,0.3710238257571011,1009,2728.2752145685154,41.988481,-88.310167,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,57964.53170458401,57334.72776460933,57667.29405177163
60178,-2.1051220166264413,-5.949895615866389,-2.117189595065701,-2.117189595065701,-1.774380977920801,-2.9319746133905427,-3.02713987473904,-3.460713327969965,-3.460713327969965,-1.9933851792258872,17.277349980482548,1.538327002108373,037,17,21840,69.87607451737452,69.32733976833977,315.0272327335692,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",22374,656,0.40357529277391135,0.36337907851471096,958,322.72982166579106,42.006791,-88.670669,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,87667.62637553047,87059.92732570616,87367.12053837713
60180,2.53723110865968,0,0.3309431880860452,0.3309431880860452,2.3166023166023164,1.323772752344181,0,1.1031439602868174,1.1031439602868174,0.5515719801434087,28.763337471566818,2.094831293520487,111,17,1694,21.663791505791504,21.663791505791504,78.1949918391309,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",1813,573,0.427546674264718,0.3748972473089533,63,83.68802845592936,42.225262,-88.524527,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,83711.25114263316,82980.1793212369,83444.6598517748
60181,-2.267431750999826,-3.81139489194499,-2.990436445835507,-2.990436445835507,-2.215266910102591,-2.2430881585811164,-4.87229862475442,-2.796731003303773,-2.796731003303773,-2.117892540427752,13.86246325151764,3.412845895596302,043,17,28836,6.675659845559846,6.593331274131274,4373.509960456125,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",28755,612,0.4389462490237938,0.38266690519703894,2545,4361.2248201177645,41.876897,-87.976328,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,29029.25093139217,28520.098449774312,28722.63418509339
60184,-1.5650741350906094,-22.857142857142858,-2.796540362438221,-2.796540362438221,-2.594728171334432,-2.5123558484349258,0,-1.9151565074135088,-1.9151565074135088,0.2883031301482702,18.0938071982868,-0.227565345643555,043,17,2448,8.403764092664092,8.11834054054054,301.5394572050073,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",2428,335,0.447405415942172,0.3886395865210176,105,299.0758995481036,41.951502,-88.25317,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,52581.61746373005,51980.18728429466,52280.48597573117
60185,-1.3185595567867037,-1.3874066168623265,-1.681163434903047,-1.681163434903047,-1.2409972299168974,-2.008310249307479,-1.1739594450373532,-2.5537396121883655,-2.5537396121883655,-1.8365650969529088,11.531744911167127,3.4928933640273225,043,17,36527,31.138269111969112,30.33610772200772,1204.0766842840887,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",36100,478,0.4252495282766483,0.36314349550952346,1874,1190.0010486121391,41.896691,-88.211014,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,48517.05339126667,47976.96508327442,48211.23411107151
60187,-0.984120629837203,-1.011326860841424,-1.226314384841206,-1.226314384841206,-1.2776888177208434,-1.4244729116626635,-4.409385113268608,-1.5515745930077394,-1.5515745930077394,-1.5345609821190285,10.234884413368546,0.3845976152697771,043,17,29016,6.716905405405406,6.623190733590733,4380.9700138696,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",29976,675,0.4780378938363232,0.4323135032927634,2472,4525.915258331787,41.87272,-88.112442,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,40316.666479696345,39811.38622534218,40009.98028301379
60188,-1.373951769555124,0.9281875915974596,-2.164684701757711,-2.164684701757711,-1.293409769270858,-1.324205239967783,1.2212994626282363,-1.9777798834509877,-1.9777798834509877,-1.238925474960913,15.388220933846751,1.0891668020282337,043,17,42656,10.412311196911196,10.098766023166023,4223.8823933686,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",42214,292,0.43412863784218775,0.3747817907655231,2047,4180.114669768897,41.915737,-88.129434,-87.626099,41.878201,41.883484,-87.632337,41.878114,-87.629798,41915.229062317,41344.04357463654,41611.26978764296
