MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Lafayette, LA",7.375346616798584,3.3669856647053464,276241,286260,763.1015934362935,709.6374138996139,16551,389.27062551845296,403.38910321390506,29180,"Lafayette, LA",Lafayette,LA,0.24472776,0.31087083,0.30385208,0.36816373,LA,174835.0680464573,-92.0215,30.225201
"Lake Charles, LA",-3.8866422414742834,0.8342660375108322,184861,193944,2360.8574416988417,1968.361418146718,7547,93.91618749266746,98.5306855803977,29340,"Lake Charles, LA",Lake Charles,LA,0.21407752,0.29567829,0.25688434,0.32198793,LA,201799.49281046548,-93.216904,30.229601
"Lake Havasu City, AZ",37.2947214207719,7.718904852619933,199445,206989,11692.248076447877,11543.249196911196,6090,17.278064139286585,17.931606298111213,29420,"Lake Havasu City-Kingman, AZ",Lake Havasu City-Kingman,AZ,0.2123618,0.24755459,0.27205974,0.30285826,AZ,236292.41466680623,-114.319807,34.477707
"Lakeland, FL",43.606984273442755,6.073068724692252,653078,749342,2396.184496138996,2187.624720849421,21300,298.5329219293243,342.5368130366721,29460,"Lakeland-Winter Haven, FL",Lakeland-Winter Haven,FL,0.26082939,0.3150284,0.31366169,0.36554962,FL,194919.1920809113,-81.955299,28.0481
"Lancaster, PA",29.044067075524342,4.382224514297606,555785,576267,1164.7329030888031,1122.840911969112,22257,494.9810735212051,513.2223041191185,29540,"Lancaster, PA",Lancaster,PA,0.24055651,0.30670777,0.29463229,0.35845444,PA,238529.0171035254,-76.306099,40.039299
"Lansing, MI",23.864058583836556,7.372811302763993,364686,376978,800.4866733590734,786.2835891891892,12994,463.809756446859,479.44279288435536,29620,"Lansing-East Lansing, MI",Lansing-East Lansing,MI,0.36431348,0.44880426,0.40994588,0.49284297,MI,158667.92461758395,-84.552597,42.730499
"Laredo, TX",19.0621178337974,4.781484113793516,252035,274675,2797.7797996138997,2785.459244015444,10242,90.4823865369766,98.61031016344572,29700,"Laredo, TX",Laredo,TX,0.26591164,0.30128995,0.33681896,0.37159777,TX,166865.14080627428,-99.506401,27.504801
"Las Cruces, NM",36.33306675537628,2.518824167340496,189555,195343,2606.097808880309,2602.747166795367,5682,72.82881811120734,75.05262228006423,29740,"Las Cruces, NM",Las Cruces,NM,0.30582881,0.3728475,0.34512526,0.40245411,NM,180685.85598414077,-106.788,32.311901
"Las Vegas, NV",31.426692531821203,2.474544590853315,1948681,2179948,5332.802737837838,5193.078828957529,84732,375.24579621896146,419.77949339883367,29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas-Henderson-Paradise,NV,0.23964137,0.32357496,0.30407009,0.37342075,NV,304830.5397351315,-115.141,36.1702
"Lawrence, KS",28.2825503555802,6.0648954116821505,73018,81421,381.0334042471043,374.7952297297297,2772,194.82104949055605,217.24129215495583,29940,"Lawrence, KS",Lawrence,KS,0.30184817,0.36799163,0.350474,0.40940413,KS,211796.15148486805,-95.235902,38.97321
"Lawton, OK",26.239333622823864,3.7994381153065326,136697,133956,2031.9340451737453,2013.9489297297296,3503,67.87510744790565,66.51409974828745,30020,"Lawton, OK",Lawton,OK,0.26654515,0.32688621,0.34411854,0.38242462,OK,97392.3533721265,-98.395599,34.6049
"Lebanon, PA",27.34785878918535,6.345306867695946,119648,124676,404.33584362934357,403.4119833976834,3709,296.5900987677182,309.053784049579,30140,"Lebanon, PA",Lebanon,PA,0.20704713,0.2296679,0.25906166,0.28456482,PA,191189.52470343176,-76.423713,40.333413
"Lewiston, ID",35.81237994201989,6.811398521994239,65003,66674,1905.4491208494208,1889.253103861004,2707,34.40671864831426,35.291195162649494,30300,"Lewiston, ID-WA",Lewiston,ID-WA,0.22166246,0.23441455,0.27285117,0.27638942,ID,230855.14213027907,-117.015996,46.417745
"Lewiston, ME",39.63584771611149,6.811632327800314,107702,107602,497.118577992278,467.925266023166,4216,230.1692338935763,229.95552455308717,74650,"Lewiston-Auburn, ME",Lewiston-Auburn,ME,0.28531143,0.31519419,0.34115347,0.36540416,ME,182343.68375052168,-70.226997,44.0947
"Lexington, KY",29.532506923326,5.067561679292483,510995,550810,1973.783447876448,1953.598781853282,22922,261.56599028754744,281.9463265008151,30460,"Lexington-Fayette, KY",Lexington-Fayette,KY,0.26912341,0.34080881,0.30464965,0.36847436,KY,193911.9745187066,-84.497398,38.047401
"Lima, OH",29.828138719218245,5.414629582621995,114394,110444,540.5156494208494,535.8039606177606,3573,213.49972827395356,206.12762897956648,30620,"Lima, OH",Lima,OH,0.19525893,0.22071144,0.23502064,0.25246018,OH,116275.86656403136,-84.107697,40.740002
"Lincoln, NE",26.62345864962381,4.545240310243798,317027,345884,1870.8804590733591,1855.8285934362937,15153,170.82773760532797,186.3771262191588,30700,"Lincoln, NE",Lincoln,NE,0.33379105,0.40259266,0.39048916,0.46179909,NE,204042.08003580093,-96.702301,40.813099
"Little Rock, AR",23.8824972941718,3.1657107815783863,792847,824858,5606.293541698842,5451.632984169884,33070,145.4329376724773,151.3047562803974,30780,"Little Rock-North Little Rock-Conway, AR",Little Rock-North Little Rock-Conway,AR,0.30751234,0.38509184,0.36560059,0.44196075,AR,162278.9057259442,-92.271202,34.7439
"Logan, UT",40.807642189769986,9.320645199009235,127417,139986,1560.313681853282,1547.0275891891893,6391,82.36246133579323,90.48707403684242,30860,"Logan, UT-ID",Logan,UT-ID,0.33831605,0.37795717,0.3838523,0.41451836,UT,279591.321682949,-111.83711,41.736951
"Longview, TX",23.043748200385323,6.19692894035731,257091,262045,2706.3871181467184,2648.9091683397683,9251,97.05542306727509,98.92562687011252,30980,"Longview, TX",Longview,TX,0.25540122,0.30825719,0.31459692,0.36577541,TX,161885.0219701275,-94.741699,32.496601
"Longview, WA",29.93149223224611,9.881468914304769,107920,113141,1231.108515057915,1189.7541366795367,3762,90.70781657560946,95.096118191077,31020,"Longview, WA",Longview,WA,0.21785598,0.24812129,0.27162057,0.28629851,WA,272558.5900347717,-122.936876,46.138869
"Los Angeles, CA",25.718957548720294,2.844762066599166,12940245,13369661,4814.182311969112,4506.860230888031,707772,2871.232817763744,2966.513340788837,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,CA,0.33373454,0.44738179,0.39088523,0.50535589,CA,674239.6361434378,-118.253,34.049999
"Lubbock, TX",29.08888682518795,-1.2790998243791663,277426,298326,3468.8190833976832,3459.0220965250965,11535,80.20359288213271,86.24576301484043,31180,"Lubbock, TX",Lubbock,TX,0.28120643,0.34272766,0.33995634,0.39429203,TX,151621.5859804671,-101.847,33.584099
"Lynchburg, VA",29.533013945257863,5.091133285284971,271425,281583,2151.5413702702704,2117.5431235521237,10097,128.17920777202005,132.9762765481025,31340,"Lynchburg, VA",Lynchburg,VA,0.25989035,0.3367635,0.30855089,0.37984034,VA,177019.6025155202,-79.142799,37.414101
"Macon, GA",33.15007274529244,8.006003045453172,271745,267793,1892.7195204633204,1866.2898895752896,9538,145.6070686113189,143.4894983334778,31420,"Macon, GA",Macon,GA,0.28446573000000003,0.36960289,0.33681262,0.42105669,GA,118391.68268931762,-83.628098,32.837299
"Madera, CA",31.63926284460968,5.598731605655879,150515,154931,1688.0031231660232,1679.0699297297297,3013,89.64188884272828,92.2719162893581,31460,"Madera, CA",Madera,CA,0.19255288,0.23905964,0.23706755,0.29431245,CA,272533.61899979174,-120.063593,36.962354
"Madison, WI",26.092568696134727,4.911465882540356,561081,609765,2907.0058420849423,2861.361850965251,26312,196.0887959035049,213.10307180977549,31540,"Madison, WI",Madison,WI,0.38297972,0.46685943,0.42545289,0.512532,WI,291848.68573592743,-89.386398,43.075298
"Manchester, NH",34.52410968319259,5.952209986673395,324888,336030,820.7163934362934,805.5758895752896,15033,403.2990612110862,417.1301603591433,74950,"Manchester, NH",Manchester,NH,0.3406758,0.43576771,0.39278284,0.48086736,NH,314634.80026802886,-71.463097,42.9939
"Manhattan, KS",19.749997122016307,3.7123113545066753,140829,146377,3054.304927413127,3010.5291517374517,4817,46.77881957021544,48.62168496708367,31740,"Manhattan, KS",Manhattan,KS,0.30176511,0.37239885,0.35826859,0.41768038,KS,183893.4664175721,-96.573393,39.179442
"Mankato, MN",23.27522594919152,5.330201497944901,133080,137049,2010.3664532818536,1955.5846571428572,5449,68.05126002288858,70.08083209255228,31860,"Mankato-North Mankato, MN",Mankato-North Mankato,MN,0.25985584,0.32786039,0.30022326,0.35807416,MN,219568.64041401332,-94.005042,44.164098
"Mansfield, OH",32.23236593092501,8.476242229686983,56717,56584,87.06787722007722,86.79526602316602,2436,653.4572978307596,651.9249561940105,31900,"Mansfield, OH",Mansfield,OH,0.20299301,0.23869713,0.24868755,0.28929344,OH,109331.28572212969,-82.516701,40.758598
"McAllen, TX",37.475315240605056,7.558774631308101,774680,855176,1474.9778768339768,1462.99586988417,21612,529.51619067888,584.5375353436282,32580,"McAllen-Edinburg-Mission, TX",McAllen-Edinburg-Mission,TX,0.25452441,0.2753647,0.29697475,0.30698913,TX,112134.6126411899,-98.2351,26.2008
"Medford, OR",24.37986069130019,3.1329423477299487,201553,214990,1914.0187613899616,1904.035984169884,11112,105.855667474621,112.91278199961684,32780,"Medford, OR",Medford,OR,0.2583757,0.30176851,0.31357661,0.35080349,OR,326147.11008829135,-122.872,42.327499
"Memphis, TN",35.45541691985953,7.40418840514759,1324563,1348364,4829.027702702702,4710.061937065637,42666,281.21986880393365,286.273093223914,32820,"Memphis, TN-MS-AR",Memphis,TN-MS-AR,0.2602374,0.34014583,0.31813696,0.3973625,TN,156398.9844568037,-90.055496,35.1427
"Merced, CA",29.81685987582363,5.595056065081756,297805,317236,1752.548449034749,1728.00475984556,6954,172.34038176296244,183.58514245548312,32900,"Merced, CA",Merced,CA,0.24273875,0.27116239,0.29579562,0.33159253,CA,281386.23890980525,-120.485484,37.303361
"Miami, FL",39.83199750456082,3.923338736126912,5551913,6074919,2126.531698069498,1995.619615830116,367977,2782.0497232838516,3044.1267222526385,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Fort Lauderdale-West Palm Beach,FL,0.31448448,0.40740648,0.3670482,0.46962363,FL,337725.53227917146,-80.191803,25.7749
"Michigan City, IN",31.353254652153957,5.5311784453870585,75185,73349,625.8323467181467,619.039167953668,1921,121.4543503742032,118.48846373076316,33140,"Michigan City-La Porte, IN",Michigan City-La Porte,IN,0.22117449,0.25546363,0.2581183,0.30922475,IN,152837.49847099636,-86.902883,41.719566
"Midland, TX",-0.4889426782413442,8.403016876809886,147323,187744,1130.6813725868726,1127.4249498069498,10130,130.67211260955887,166.52460993713825,33260,"Midland, TX",Midland,TX,0.23858714,0.3602795,0.31079128,0.45006192,TX,273760.36358935223,-102.077,31.9984
"Milwaukee, WI",22.911616762035273,5.46217796330403,1504855,1521015,1368.3913038610035,1322.244091891892,63371,1138.1068058673077,1150.328452459714,33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee-Waukesha-West Allis,WI,0.32395992,0.42956898,0.36482447,0.46419871,WI,247289.0295729712,-87.907097,43.036098
