city,iso,country,country2,gdp_capita,top_city,continent,new_city,population2,cbsa_code,gdp_capita_usa,population,final_sample
Southampton,GBR,United Kingdom,United Kingdom,49291.814,NA,W_Europe,Southampton,855569,NA,NA,855569,1
Stoke-On-Trent,GBR,United Kingdom,United Kingdom,49291.814,NA,W_Europe,Fenton,12070,NA,NA,12070,0
York,GBR,United Kingdom,United Kingdom,49291.814,1,Asia,York,181131,NA,NA,181131,0
Albany,USA,United States of America,United States,71640.42627217546,NA,English,Albany,604077,10580,71640.42627217546,880736,1
Albuquerque,USA,United States of America,United States,56742.75794974049,NA,English,Albuquerque,765693,10740,56742.75794974049,912108,1
Alexandria,USA,United States of America,United States,95148.60353282702,NA,English,Alexandria,158185,47900,95148.60353282702,6196585,1
Anaheim,USA,United States of America,United States,68510.19916370993,NA,English,Anaheim,348204,31080,68510.19916370993,13249614,1
Arlington,USA,United States of America,United States,95148.60353282702,NA,English,Arlington,392304,47900,95148.60353282702,6196585,1
Athens,USA,United States of America,United States,52748.42792833475,NA,English,Athens,142277,12020,52748.42792833475,208457,0
Auburn,USA,United States of America,United States,53143.282901797495,NA,English,Auburn,91047,12220,53143.282901797495,161152,0
Augusta,USA,United States of America,United States,52397.44572970119,NA,English,Augusta,409668,12260,52397.44572970119,599616,1
Aurora,USA,United States of America,United States,80092.61171861713,NA,English,Aurora,383496,19740,80092.61171861713,2892066,1
Austin,USA,United States of America,United States,75970.47839662198,NA,English,Austin,1659251,12420,75970.47839662198,2114441,1
Atlanta,USA,United States of America,United States,NA,NA,English,Atlanta,5046555,NA,NA,5046555,1
Bakersfield,USA,United States of America,United States,44494.62372459901,NA,English,Bakersfield,590845,12540,44494.62372459901,887641,1
Baltimore,USA,United States of America,United States,79094.98296924024,NA,English,Baltimore,2205092,12580,79094.98296924024,2796733,1
Baton Rouge,USA,United States of America,United States,59289.28640178283,NA,English,Baton Rouge,610751,12940,59289.28640178283,854318,1
Birmingham,USA,United States of America,United States,60998.417108172296,NA,English,Birmingham,704676,13820,60998.417108172296,1085330,1
Bloomington,USA,United States of America,United States,53604.90079347858,NA,English,Bloomington,134357,14020,53604.90079347858,167296,0
Boston,USA,United States of America,United States,90805.19882473681,NA,English,Boston,4208580,14460,90805.19882473681,4832346,1
Bronx,USA,United States of America,United States,82803.18619828166,NA,English,Bronx,1472654,35620,82803.18619828166,19294236,1
Brooklyn,USA,United States of America,United States,82803.18619828166,NA,English,Brooklyn,2736074,35620,82803.18619828166,19294236,1
Buffalo,USA,United States of America,United States,63153.90561065009,NA,English,Buffalo,1004655,15380,63153.90561065009,1130175,1
Burlington,USA,United States of America,United States,71184.53091634167,NA,English,Burlington,137096,15540,71184.53091634167,218784,0
Chandler,USA,United States of America,United States,62036.10360848019,NA,English,Chandler,272439,38060,62036.10360848019,4761603,1
Charleston,USA,United States of America,United States,66783.90084977861,NA,English,Charleston,685517,16700,66783.90084977861,774508,1
Charlotte,USA,United States of America,United States,65919.7979368384,NA,English,Charlotte,1516107,16740,65919.7979368384,2545560,1
Chicago,USA,United States of America,United States,72784.9334416327,NA,English,Chicago,8595181,16980,72784.9334416327,9508605,1
Cincinnati,USA,United States of America,United States,65952.22563997302,NA,English,Cincinnati,1712287,17140,65952.22563997302,2201741,1
Clarksville,USA,United States of America,United States,49463.69235199249,NA,English,Clarksville,198689,17300,49463.69235199249,299470,0
Cleveland,USA,United States of America,United States,64445.29120018767,NA,English,Cleveland,1683059,17460,64445.29120018767,2056898,1
Colorado Springs,USA,United States of America,United States,64464.366319678615,NA,English,Colorado Springs,628808,17820,64464.366319678615,723498,1
Columbia,USA,United States of America,United States,57023.16220625751,NA,English,Columbia,640502,17900,57023.16220625751,824278,1
Columbus,USA,United States of America,United States,65696.61903879425,NA,English,Columbus,1556848,18140,65696.61903879425,2077761,1
Concord,USA,United States of America,United States,90805.19882473681,NA,English,Concord,640270,14460,90805.19882473681,4832346,1
Corpus Christi,USA,United States of America,United States,52410.798313344865,NA,English,Corpus Christi,333764,18580,52410.798313344865,428548,0
Dallas,USA,United States of America,United States,67293.20654018708,NA,English,Dallas,5668165,19100,67293.20654018708,7320663,1
Dayton,USA,United States of America,United States,NA,NA,English,Dayton,709300,NA,NA,709300,1
Decatur,USA,United States of America,United States,67327.5417552708,NA,English,Decatur,88002,12060,67327.5417552708,5862424,1
Detroit,USA,United States of America,United States,65004.19220127261,NA,English,Detroit,3522856,19820,65004.19220127261,4317848,1
Durham,USA,United States of America,United States,69284.64901504265,NA,English,Durham,399762,20500,69284.64901504265,626695,1
El Paso,USA,United States of America,United States,41286.188626220566,NA,English,El Paso,794344,21340,41286.188626220566,840477,1
Everett,USA,United States of America,United States,87268.67167111397,NA,English,Everett,110438,42660,87268.67167111397,3871323,1
Fayetteville,USA,United States of America,United States,46215.19950268305,NA,English,Fayetteville,381636,22180,46215.19950268305,519101,1
Florence,USA,United States of America,United States,47909.07011347976,NA,English,Florence,88709,22500,47909.07011347976,205502,0
Fort Lauderdale,USA,United States of America,United States,62036.10360848019,NA,English,Fort Lauderdale,182247,33100,62036.10360848019,6090660,1
Fort Myers,USA,United States of America,United States,63983.673308506586,NA,English,Fort Myers,84694,15980,63983.673308506586,737468,1
Fort Wayne,USA,United States of America,United States,56048.423600269765,NA,English,Fort Wayne,330305,23060,56048.423600269765,406305,0
Fort Worth,USA,United States of America,United States,67293.20654018708,NA,English,Fort Worth,908469,19100,67293.20654018708,7320663,1
Franklin,USA,United States of America,United States,67676.61644195525,NA,English,Franklin,81531,34980,67676.61644195525,1871903,1
Fresno,USA,United States of America,United States,46585.25682080755,NA,English,Fresno,719558,23420,46585.25682080755,984521,1
Frisco,USA,United States of America,United States,67293.20654018708,NA,English,Frisco,193140,19100,67293.20654018708,7320663,1
Gainesville,USA,United States of America,United States,52212.41707063895,NA,English,Gainesville,213287,23540,52212.41707063895,323799,0
Glendale,USA,United States of America,United States,68510.19916370993,NA,English,Glendale,245685,31080,68510.19916370993,13249614,1
Grand Rapids,USA,United States of America,United States,59872.98505820602,NA,English,Grand Rapids,604311,24340,59872.98505820602,1062392,1
Greensboro,USA,United States of America,United States,54911.546478608914,NA,English,Greensboro,345270,24660,54911.546478608914,762063,1
Greenville,USA,United States of America,United States,57047.95986159575,NA,English,Greenville,450487,24860,57047.95986159575,895942,1
Henderson,USA,United States of America,United States,58568.246885024775,NA,English,Henderson,311250,29820,58568.246885024775,2182004,1
Hialeah,USA,United States of America,United States,62036.10360848019,NA,English,Hialeah,224362,33100,62036.10360848019,6090660,1
Honolulu,USA,United States of America,United States,70226.95991789579,NA,English,Honolulu,835291,46520,70226.95991789579,984821,1
Houston,USA,United States of America,United States,65618.41104888133,NA,English,Houston,5650910,26420,65618.41104888133,6884138,1
Huntsville,USA,United States of America,United States,66606.50223851274,NA,English,Huntsville,339136,26620,66606.50223851274,457003,0
Indianapolis,USA,United States of America,United States,64281.24517256546,NA,English,Indianapolis,1659305,26900,64281.24517256546,2029472,1
Irving,USA,United States of America,United States,67293.20654018708,NA,English,Irving,254184,19100,67293.20654018708,7320663,1
Jackson,USA,United States of America,United States,52622.53213969445,NA,English,Jackson,326977,27140,52622.53213969445,597727,1
Jacksonville,USA,United States of America,United States,63527.77795267278,NA,English,Jacksonville,1220191,27260,63527.77795267278,1503574,1
Kansas City,USA,United States of America,United States,68214.53481160014,NA,English,Kansas City,1644497,28140,68214.53481160014,2124518,1
Katy,USA,United States of America,United States,65618.41104888133,NA,English,Katy,21926,26420,65618.41104888133,6884138,1
Kissimmee,USA,United States of America,United States,56986.9194792247,NA,English,Kissimmee,399929,36740,56986.9194792247,2508970,1
Knoxville,USA,United States of America,United States,59399.92209483036,NA,English,Knoxville,619925,28940,59399.92209483036,853337,1
Lafayette,USA,United States of America,United States,53324.49653696156,NA,English,Lafayette,254286,29180,53324.49653696156,489914,0
Lakewood,USA,United States of America,United States,80092.61171861713,NA,English,Lakewood,155608,19740,80092.61171861713,2892066,1
Lancaster,USA,United States of America,United States,61410.43968917691,NA,English,Lancaster,430621,29540,61410.43968917691,540999,1
Las Vegas,USA,United States of America,United States,58568.246885024775,NA,English,Las Vegas,2150373,29820,58568.246885024775,2182004,1
Lebanon,USA,United States of America,United States,55565.823077148634,NA,English,Lebanon,80620,30140,55565.823077148634,139729,0
Lexington,USA,United States of America,United States,63239.74364835938,NA,English,Lexington,321354,30460,63239.74364835938,510647,1
Lincoln,USA,United States of America,United States,NA,NA,English,Lincoln,289136,NA,NA,289136,0
Little Rock,USA,United States of America,United States,58367.95813036976,NA,English,Little Rock,457379,30780,58367.95813036976,737015,1
Long Beach,USA,United States of America,United States,68510.19916370993,NA,English,Long Beach,466565,31080,68510.19916370993,13249614,1
Los Angeles,USA,United States of America,United States,68510.19916370993,NA,English,Los Angeles,12121244,31080,68510.19916370993,13249614,1
Louisville,USA,United States of America,United States,62242.11489898249,NA,English,Louisville,1022630,31140,62242.11489898249,1257088,1
Madison,USA,United States of America,United States,75316.20179808227,NA,English,Madison,461778,31540,75316.20179808227,653725,1
Manchester,USA,United States of America,United States,78122.15187520158,NA,English,Manchester,167568,31700,78122.15187520158,413035,0
Marietta,USA,United States of America,United States,67327.5417552708,NA,English,Marietta,60962,12060,67327.5417552708,5862424,1
Memphis,USA,United States of America,United States,56181.94943670645,NA,English,Memphis,1034498,32820,56181.94943670645,1339623,1
Mesa,USA,United States of America,United States,62036.10360848019,NA,English,Mesa,497752,38060,62036.10360848019,4761603,1
Miami,USA,United States of America,United States,62036.10360848019,NA,English,Miami,5711945,33100,62036.10360848019,6090660,1
Middletown,USA,United States of America,United States,78940.47450136351,NA,English,Middletown,95296,25540,78940.47450136351,1207677,1
Milford,USA,United States of America,United States,72502.62167316658,NA,English,Milford,30134,35300,72502.62167316658,857513,1
Milwaukee,USA,United States of America,United States,67699.5065853444,NA,English,Milwaukee,1340981,33340,67699.5065853444,1575223,1
Minneapolis,USA,United States of America,United States,78597.12235052633,NA,English,Minneapolis,2856952,33460,78597.12235052633,3573609,1
Monroe,USA,United States of America,United States,44990.576831363804,NA,English,Monroe,117197,33740,44990.576831363804,203457,0
Mount Pleasant,USA,United States of America,United States,66783.90084977861,NA,English,Mount Pleasant,88900,16700,66783.90084977861,774508,1
