MetroShort,old_city_name,state,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName.x,end.x,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState.x,price_level,cbd_lon,cbd_lat,cbsa_name,income_per_capita,population,MsaName.y,Metro,end.y,MetroState.y,us_income_per_capita,income_share,gdp_capita
"Akron, OH",Akron,OH,900018,903486,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,149661.87569786998,-81.518898,41.0811,"Akron, OH Metro Area",32786,703845,"Akron, OH Metro Area",Akron,OH Metro Area,OH,34103,0.9613816966249303,62539.68676304137
"Baton Rouge, LA",Baton Rouge,LA,865501,900787,4430.112434749035,4307.941427413128,32433,200.9082562015529,209.09917536666993,12940,"Baton Rouge, LA",Baton Rouge,LA,0.25683343,0.32415456,0.30453247,0.35679933,LA,193836.45788083883,-91.188202,30.452801,"Baton Rouge, LA Metro Area",31082,854318,"Baton Rouge, LA Metro Area",Baton Rouge,LA Metro Area,LA,34103,0.9114154179984165,59289.28640178283
"Bakersfield, CA",Bakersfield,CA,843086,890464,6608.706251351351,6577.331714671815,22116,128.1805504988229,135.38377546227056,12540,"Bakersfield, CA",Bakersfield,CA,0.24432419,0.31218782,0.29072604,0.35714224,CA,230207.4937550361,-119.019,35.377701,"Bakersfield, CA Metro Area",23326,887641,"Bakersfield, CA Metro Area",Bakersfield,CA Metro Area,CA,34103,0.6839867460340733,44494.62372459901
"Columbia, SC",Columbia,SC,821713,875238,4630.5428918918915,4483.216555212355,30693,183.28648413038303,195.22545681680617,17900,"Columbia, SC",Columbia,SC,0.3102341,0.39495081,0.36856678,0.44911692,SC,162841.41326241326,-81.0355,34.005798,"Columbia, SC Metro Area",29894,824278,"Columbia, SC Metro Area",Columbia,SC Metro Area,SC,34103,0.876579773040495,57023.16220625751
"McAllen, TX",McAllen,TX,774680,855176,1474.9778768339768,1462.99586988417,21612,529.51619067888,584.5375353436282,32580,"McAllen-Edinburg-Mission, TX",McAllen-Edinburg-Mission,TX,0.25452441,0.2753647,0.29697475,0.30698913,TX,112134.6126411899,-98.2351,26.2008,"McAllen-Edinburg-Mission, TX Metro Area",17175,855176,"McAllen-Edinburg-Mission, TX Metro Area",McAllen,TX Metro Area,TX,34103,0.5036213822830836,32761.517725713282
"El Paso, TX",El Paso,TX,813672,850497,882.5824274131274,880.4384185328186,26135,924.166850142592,965.9926033410565,21340,"El Paso, TX",El Paso,TX,0.29758063,0.34773588,0.34833768,0.38792619,TX,137814.4897465705,-106.487,31.760099,"El Paso, TX Metro Area",21644,840477,"El Paso, TX Metro Area",El Paso,TX Metro Area,TX,34103,0.6346655719438172,41286.188626220566
"Grand Rapids, MI",Grand Rapids,MI,799143,843684,3355.3126586872586,3237.4029042471043,32208,246.84693985775303,260.60519031881466,24340,"Grand Rapids-Wyoming, MI",Grand Rapids-Wyoming,MI,0.26677683,0.3491981,0.29494813,0.37401992,MI,211770.4601282109,-85.669701,42.966202,"Grand Rapids-Kentwood, MI Metro Area",31388,1062392,"Grand Rapids-Kentwood, MI Metro Area",Grand Rapids,MI Metro Area,MI,34103,0.9203882356390933,59872.98505820602
"New Haven, CT",New Haven,CT,838178,833159,621.0014416988417,594.7465822393823,32442,1409.3027602513198,1400.86387190815,75700,"New Haven, CT",New Haven,CT,0.30614942,0.37781811,0.37195748,0.44189078,CT,245893.4098247619,-72.925003,41.305099,"New Haven-Milford, CT Metro Area",38009,857513,"New Haven-Milford, CT Metro Area",New Haven,CT Metro Area,CT,34103,1.114535378119227,72502.62167316658
"Little Rock, AR",Little Rock,AR,792847,824858,5606.293541698842,5451.632984169884,33070,145.4329376724773,151.3047562803974,30780,"Little Rock-North Little Rock-Conway, AR",Little Rock-North Little Rock-Conway,AR,0.30751234,0.38509184,0.36560059,0.44196075,AR,162278.9057259442,-92.271202,34.7439,"Little Rock-North Little Rock-Conway, AR Metro Area",30599,737015,"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock,AR Metro Area,AR,34103,0.8972524411342111,58367.95813036976
"Worcester, MA",Worcester,MA,796645,822431,1524.656755984556,1472.229376061776,28709,541.1147290995042,558.6296628586564,79600,"Worcester, MA-CT",Worcester,MA-CT,0.31928214,0.38053605,0.36986655,0.42283213,MA,296889.09774769587,-71.800301,42.263802,"Worcester, MA-CT Metro Area",36974,941338,"Worcester, MA-CT Metro Area",Worcester,MA-CT Metro Area,MA,34103,1.0841861419816439,70528.34680585285
"Oxnard, CA",Oxnard,CA,787571,812122,1275.8933432432432,1199.2984945945946,34841,656.6930614435792,677.1641952861169,37100,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard-Thousand Oaks-Ventura,CA,0.31395799,0.41939071,0.36002243,0.45664853,CA,631245.9807763752,-119.179,34.1973,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",38595,847263,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard,CA Metro Area,CA,34103,1.1317186171304576,73620.42367533647
"Cape Coral, FL",Cape Coral,FL,675632,804701,1117.2913050193051,892.9473320463321,37712,756.6314112296868,901.1740907001744,15980,"Cape Coral-Fort Myers, FL",Cape Coral-Fort Myers,FL,0.23383056,0.29604116,0.28104809,0.34265724,FL,245058.47386354685,-81.952103,26.570601,"Cape Coral-Fort Myers, FL Metro Area",33543,737468,"Cape Coral-Fort Myers, FL Metro Area",Cape Coral,FL Metro Area,FL,34103,0.9835791572588922,63983.673308506586
"Charleston, SC",Charleston,SC,677976,788015,3217.342466795367,2934.4360714285713,35181,231.04132565748515,268.54052390937613,16700,"Charleston-North Charleston, SC",Charleston-North Charleston,SC,0.28707051,0.36801305,0.33705798,0.40912122,SC,277122.0047220648,-79.9347,32.783298,"Charleston-North Charleston, SC Metro Area",35011,774508,"Charleston-North Charleston, SC Metro Area",Charleston,SC Metro Area,SC,34103,1.0266252235873676,66783.90084977861
"Durham, NC",Durham,NC,663067,766642,2161.0009525096525,2109.345145945946,31780,314.34732304212093,363.450240219552,20500,"Durham-Chapel Hill, NC",Durham-Chapel Hill,NC,0.41275987,0.52036542,0.45957696,0.57052588,NC,261047.275831357,-78.899696,35.994999,"Durham-Chapel Hill, NC Metro Area",36322,626695,"Durham-Chapel Hill, NC Metro Area",Durham,NC Metro Area,NC,34103,1.0650675893616397,69284.64901504265
"Lakeland, FL",Lakeland,FL,653078,749342,2396.184496138996,2187.624720849421,21300,298.5329219293243,342.5368130366721,29460,"Lakeland-Winter Haven, FL",Lakeland-Winter Haven,FL,0.26082939,0.3150284,0.31366169,0.36554962,FL,194919.1920809113,-81.955299,28.0481,"Lakeland-Winter Haven, FL Metro Area",24864,686218,"Lakeland-Winter Haven, FL Metro Area",Lakeland,FL Metro Area,FL,34103,0.7290854177051872,47428.37710230771
"Colorado Springs, CO",Colorado Springs,CO,657015,736812,3733.320384169884,3722.0163297297295,33704,176.5212567048862,197.9604426006113,17820,"Colorado Springs, CO",Colorado Springs,CO,0.36108276,0.4663882,0.40308225,0.50151491,CO,324964.626928713,-104.825,38.832298,"Colorado Springs, CO Metro Area",33795,723498,"Colorado Springs, CO Metro Area",Colorado Springs,CO Metro Area,CO,34103,0.9909685364923907,64464.366319678615
"Knoxville, TN",Knoxville,TN,689520,730450,2233.630062162162,2146.718705405405,25844,321.19718259490594,340.26349058250526,28940,"Knoxville, TN",Knoxville,TN,0.29700688,0.38854551,0.34945592,0.42547292,TN,189039.00565764811,-83.919998,35.9646,"Knoxville, TN Metro Area",31140,853337,"Knoxville, TN Metro Area",Knoxville,TN Metro Area,TN,34103,0.9131161481394598,59399.92209483036
"Boise City, ID",Boise City,ID,629930,724156,13028.570476447878,12955.14931119691,35238,48.623908908217864,55.89715584166402,14260,"Boise City, ID",Boise City,ID,0.31831571,0.3940745,0.36559424,0.43833736,ID,294668.02562564425,-116.209,43.617199,"Boise City, ID Metro Area",30508,710743,"Boise City, ID Metro Area",Boise City,ID Metro Area,ID,34103,0.8945840541887811,58194.37454300208
"Springfield, MA",Springfield,MA,693392,700259,1916.4259115830116,1855.453635135135,22138,373.7048379274103,377.40581965498654,78100,"Springfield, MA-CT",Springfield,MA-CT,0.30223149,0.35632816,0.35325184,0.40119877,MA,241583.92125529324,-72.594101,42.103298,"Springfield, MA Metro Area",31941,699480,"Springfield, MA Metro Area",Springfield,MA Metro Area,MA,34103,0.9366038178459373,60927.83916605577
"Greenville, SC",Greenville,SC,606516,665430,2280.4360544401543,2239.4767115830114,28803,270.82934011458156,297.13637858266884,24860,"Greenville-Anderson-Mauldin, SC",Greenville-Anderson-Mauldin,SC,0.27526933,0.36425245,0.31149352,0.38449478,SC,190111.175051776,-82.3974,34.849701,"Greenville-Anderson, SC Metro Area",29907,895942,"Greenville-Anderson, SC Metro Area",Greenville,SC Metro Area,SC,34103,0.8769609711755564,57047.95986159575
"Stockton, CA",Stockton,CA,614626,658716,1190.5058725868726,1164.5303675675675,17966,527.7887267841803,565.6494826973934,44700,"Stockton-Lodi, CA",Stockton-Lodi,CA,0.22769897,0.27840576,0.28545684,0.32741696,CA,385841.18438136607,-121.288,37.952999,"Stockton, CA Metro Area",27521,742603,"Stockton, CA Metro Area",Stockton,CA Metro Area,CA,34103,0.8069964519250505,52496.636351054156
"Chattanooga, TN",Chattanooga,TN,617809,647757,2816.9416864864866,2759.211157915058,20403,223.90783620447337,234.76166299989325,16860,"Chattanooga, TN-GA",Chattanooga,TN-GA,0.27364412,0.35716042,0.31837744,0.39439443,TN,189132.17684510423,-85.310501,35.0481,"Chattanooga, TN-GA Metro Area",30213,556209,"Chattanooga, TN-GA Metro Area",Chattanooga,TN-GA Metro Area,TN,34103,0.8859337888162332,57631.65851801894
"Augusta, GA",Augusta,GA,607613,642385,4687.245382239382,4594.418318532818,18440,132.25025626182753,139.8185701569158,12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County,GA-SC,0.26595157,0.33461559,0.30150679,0.35787222,GA,152113.27993910003,-81.965797,33.475899,"Augusta-Richmond County, GA-SC Metro Area",27469,599616,"Augusta-Richmond County, GA-SC Metro Area",Augusta,GA-SC Metro Area,GA,34103,0.8054716593848048,52397.44572970119
"Des Moines, IA",Des Moines,IA,562915,633852,3269.3527405405403,3248.4280444015444,27526,173.28843129837756,195.1257627800631,19780,"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,IA,0.3752175,0.48650342,0.42664063,0.53014994,IA,213867.11242734484,-93.619598,41.5896,"Des Moines-West Des Moines, IA Metro Area",36310,680439,"Des Moines-West Des Moines, IA Metro Area",Des Moines,IA Metro Area,IA,34103,1.0647157141600445,69261.75887165351
"Toledo, OH",Toledo,OH,635691,628193,1540.9027351351351,1515.6512787644788,22380,419.4177175888371,414.4706693429424,45780,"Toledo, OH",Toledo,OH,0.25834081,0.31394958,0.30763268,0.35740691,OH,129293.36576876829,-83.536598,41.654099,"Toledo, OH Metro Area",30234,644137,"Toledo, OH Metro Area",Toledo,OH Metro Area,OH,34103,0.8865495704190247,57671.716268949946
"Provo, UT",Provo,UT,519434,620113,2609.399767953668,2599.2289563706563,26777,199.84157175799308,238.5757508895536,39340,"Provo-Orem, UT",Provo-Orem,UT,0.39045295,0.49995038,0.42573538,0.53445166,UT,363077.3134200927,-111.661,40.232498,"Provo-Orem, UT Metro Area",26153,616791,"Provo-Orem, UT Metro Area",Provo,UT Metro Area,UT,34103,0.7668826789432015,49887.16000469167
"Harrisburg, PA",Harrisburg,PA,588886,612117,1709.8591254826256,1664.0935992277991,23692,353.8779310690606,367.83808331697503,25420,"Harrisburg-Carlisle, PA",Harrisburg-Carlisle,PA,0.32349467,0.42247415,0.38510406,0.48745069,PA,194838.8098464467,-76.884399,40.2565,"Harrisburg-Carlisle, PA Metro Area",35095,571013,"Harrisburg-Carlisle, PA Metro Area",Harrisburg,PA Metro Area,PA,34103,1.029088349998534,66944.13185350262
"Wichita, KS",Wichita,KS,596187,611649,4098.489037065637,4067.984588416988,22450,146.55586496014718,150.3567643155739,48620,"Wichita, KS",Wichita,KS,0.29718778,0.36983702,0.33535591,0.3976042,KS,138907.4661085112,-97.337502,37.686901,"Wichita, KS Metro Area",29414,637690,"Wichita, KS Metro Area",Wichita,KS Metro Area,KS,34103,0.8625047649766883,56107.55647069173
"Madison, WI",Madison,WI,561081,609765,2907.0058420849423,2861.361850965251,26312,196.0887959035049,213.10307180977549,31540,"Madison, WI",Madison,WI,0.38297972,0.46685943,0.42545289,0.512532,WI,291848.68573592743,-89.386398,43.075298,"Madison, WI Metro Area",39484,653725,"Madison, WI Metro Area",Madison,WI Metro Area,WI,34103,1.1577867049819663,75316.20179808227
"Ogden, UT",Ogden,UT,547184,608894,1225.0707,1215.5811185328184,23710,450.14190468871374,500.90774751003255,36260,"Ogden-Clearfield, UT",Ogden-Clearfield,UT,0.33691397,0.43255445,0.35278675,0.4294838,UT,318019.7690278868,-111.973,41.2216,"Ogden-Clearfield, UT Metro Area",29411,662875,"Ogden-Clearfield, UT Metro Area",Ogden,UT Metro Area,UT,34103,0.8624167961762895,56101.83393484444
"Jackson, MS",Jackson,MS,577976,588211,5051.706322393822,5014.297587644788,21740,115.26559600773015,117.30675926561476,27140,"Jackson, MS",Jackson,MS,0.29780158,0.36943841,0.35386786,0.42772666,MS,144799.39756966665,-90.184303,32.300598,"Jackson, MS Metro Area",27587,597727,"Jackson, MS Metro Area",Jackson,MS Metro Area,MS,34103,0.808931765533824,52622.53213969445
"Syracuse, NY",Syracuse,NY,593799,583315,2416.0953934362933,2382.179794980695,21234,249.26707935779973,244.86606814022076,45060,"Syracuse, NY",Syracuse,NY,0.32639894,0.39347753,0.38042909,0.4399682,NY,145769.87730672475,-76.150497,43.048199,"Syracuse, NY Metro Area",32634,652416,"Syracuse, NY Metro Area",Syracuse,NY Metro Area,NY,34103,0.9569246107380582,62249.744946778876
"Palm Bay, FL",Palm Bay,FL,539382,582534,1035.0544007722008,867.9233806949807,25384,621.4626912897489,671.1813657255574,37340,"Palm Bay-Melbourne-Titusville, FL",Palm Bay-Melbourne-Titusville,FL,0.3318105,0.44749898,0.36454308,0.46937463,FL,226814.4588803283,-80.669969,27.997982,"Palm Bay-Melbourne-Titusville, FL Metro Area",32176,585507,"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay,FL Metro Area,FL,34103,0.9434947072105093,61376.10447409318
"Fayetteville, AR",Fayetteville,AR,504965,578370,3930.3961590733593,3875.969676447876,22022,130.28094700234448,149.21943365925554,22220,"Fayetteville-Springdale-Rogers, AR-MO",Fayetteville-Springdale-Rogers,AR-MO,0.30760106,0.43046272,0.36532432,0.48063016,AR,203880.79321647872,-94.164803,36.063099,"Fayetteville-Springdale-Rogers, AR Metro Area",31119,514259,"Fayetteville-Springdale-Rogers, AR Metro Area",Fayetteville,AR Metro Area,AR,34103,0.9125003665366683,59359.86434389936
"Lancaster, PA",Lancaster,PA,555785,576267,1164.7329030888031,1122.840911969112,22257,494.9810735212051,513.2223041191185,29540,"Lancaster, PA",Lancaster,PA,0.24055651,0.30670777,0.29463229,0.35845444,PA,238529.0171035254,-76.306099,40.039299,"Lancaster, PA Metro Area",32194,540999,"Lancaster, PA Metro Area",Lancaster,PA Metro Area,PA,34103,0.9440225200129021,61410.43968917691
"Deltona, FL",Deltona,FL,518448,561343,1439.523952895753,1320.7919652509652,23672,392.5281298190583,425.00485675905713,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona-Daytona Beach-Ormond Beach,FL,0.25670928,0.31427589,0.31015232,0.35761163,FL,215703.5132866511,-81.2221,28.92912,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",28664,646288,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona,FL Metro Area,FL,34103,0.8405125648769903,54676.922508870186
"Lexington, KY",Lexington,KY,510995,550810,1973.783447876448,1953.598781853282,22922,261.56599028754744,281.9463265008151,30460,"Lexington-Fayette, KY",Lexington-Fayette,KY,0.26912341,0.34080881,0.30464965,0.36847436,KY,193911.9745187066,-84.497398,38.047401,"Lexington-Fayette, KY Metro Area",33153,510647,"Lexington-Fayette, KY Metro Area",Lexington,KY Metro Area,KY,34103,0.9721432132070492,63239.74364835938
"Ann Arbor, MI",Ann Arbor,MI,518465,545756,1092.2275621621625,1062.044932046332,21119,488.1761443002506,513.8727972162587,11460,"Ann Arbor, MI",Ann Arbor,MI,0.39217666,0.47228894,0.4488267,0.4869498,MI,320773.9768899632,-83.745903,42.280201,"Ann Arbor, MI Metro Area",41399,367000,"Ann Arbor, MI Metro Area",Ann Arbor,MI Metro Area,MI,34103,1.2139401225698618,78969.08718059993
"Portland, ME",Portland,ME,514464,532490,2404.0700768339766,2107.9393764478764,29413,244.0601498070271,252.6116291339022,76750,"Portland-South Portland, ME",Portland-South Portland,ME,0.34153235,0.44550616,0.38491789,0.48178625,ME,315878.4527266518,-70.260002,43.655899,"Portland-South Portland, ME Metro Area",38434,532075,"Portland-South Portland, ME Metro Area",Portland,ME Metro Area,ME,34103,1.1269976248423892,73313.31425153212
"Scranton, PA",Scranton,PA,523508,516265,1758.5981142857142,1728.9961803088804,17711,302.7814670512903,298.5923311338783,42540,"Scranton--Wilkes-Barre--Hazleton, PA",Scranton--Wilkes-Barre--Hazleton,PA,0.24909435,0.30590999,0.30106217,0.35706991,PA,139601.2231546848,-75.663902,41.408699,"Scranton--Wilkes-Barre, PA Metro Area",29354,555642,"Scranton--Wilkes-Barre, PA Metro Area",Scranton,PA Metro Area,PA,34103,0.8607453889687124,55993.105753746
"Salinas, CA",Salinas,CA,489095,511207,3295.8221934362937,3241.681196911197,17493,150.87695867996806,157.69811062454212,41500,"Salinas, CA",Salinas,CA,0.21735431,0.30006251,0.25850368,0.33795309,CA,574724.4224150188,-121.655,36.674599,"Salinas, CA Metro Area",30073,433410,"Salinas, CA Metro Area",Salinas,CA Metro Area,CA,34103,0.8818285781309563,57364.60684514559
"Spokane, WA",Spokane,WA,473579,506026,2134.438546718147,2109.5540374517377,22900,224.49247167522935,239.873447665394,44060,"Spokane-Spokane Valley, WA",Spokane-Spokane Valley,WA,0.28824699,0.34493747,0.34154212,0.38370025,WA,262178.5556424123,-117.421,47.657501,"Spokane-Spokane Valley, WA Metro Area",30801,550160,"Spokane-Spokane Valley, WA Metro Area",Spokane,WA Metro Area,WA,34103,0.9031756736943964,58753.27554408703
"Modesto, CA",Modesto,CA,466579,492535,1270.4184737451735,1244.8596208494207,13674,374.8045098302998,395.65505359063894,33700,"Modesto, CA",Modesto,CA,0.24801552,0.28783533,0.30633941,0.3433843,CA,323881.9977915644,-120.996,37.640301,"Modesto, CA Metro Area",26258,543194,"Modesto, CA Metro Area",Modesto,CA Metro Area,CA,34103,0.7699615869571592,50087.448759346684
